variable,role,definition,unit,source_or_derivation,processing
record_id,identifier,Stable row identifier assigned in original dataset row order.,dimensionless,Generated as R0001-R0200,No transformation
DOI,identifier,Canonical Digital Object Identifier URL of the literature source for this extracted record.,dimensionless,DOI extracted from the source URL in dataset.csv,Canonicalized as https://doi.org/<identifier>; never used as a model feature
DOI_raw,metadata,Source identifier/URL exactly as stored in dataset.csv.,dimensionless,dataset.csv,Preserved unchanged
data_source,metadata,Original study-specific source/group identifier used for grouped cross-validation.,dimensionless,dataset.csv,String; used only as CV grouping variable
Compounds(M1-M2-N),metadata,Normalized M1-M2-N elemental composition label.,dimensionless,dataset.csv,Parsed only to create internal M1/M2 one-hot columns
Original_Compounds,metadata,Material label transcribed from the literature source.,dimensionless,dataset.csv,Preserved as text; never used as a model feature
Y1,target,Reported charge-discharge overpotential for the Li-O2 battery record.,V,Overpotential(V) in dataset.csv,Numeric conversion; no imputation required. Precise voltage-gap convention TO BE VERIFIED FROM MANUSCRIPT.
Y2,target,Reported cycling performance: number of completed cycles for the literature record under its reported testing conditions.,cycles,Cycling_performance in dataset.csv,Numeric conversion; no missing values in this release. Precise cycle endpoint criterion TO BE VERIFIED FROM MANUSCRIPT.
Current_density(mA/g),experimental_context,First reported current-density context field.,mA g^-1,dataset.csv,Preserved in raw/processed release but excluded from the 47-descriptor model. Relationship between the two repeated pairs TO BE VERIFIED FROM MANUSCRIPT.
Limited_specific_capacity(mAh/g),experimental_context,First reported limited-specific-capacity context field.,mAh g^-1,dataset.csv,Preserved in raw/processed release but excluded from the 47-descriptor model. Relationship between the two repeated pairs TO BE VERIFIED FROM MANUSCRIPT.
Current_density(mA/g).1,experimental_context,Second reported current-density context field.,mA g^-1,dataset.csv,Preserved in raw/processed release but excluded from the 47-descriptor model. Relationship between the two repeated pairs TO BE VERIFIED FROM MANUSCRIPT.
Limited_specific_capacity(mAh/g).1,experimental_context,Second reported limited-specific-capacity context field.,mAh g^-1,dataset.csv,Preserved in raw/processed release but excluded from the 47-descriptor model. Relationship between the two repeated pairs TO BE VERIFIED FROM MANUSCRIPT.
Atomic_Weight_of_M1,descriptor,Standard atomic weight assigned to M1.,u,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Exact lookup source TO BE VERIFIED FROM MANUSCRIPT.
Atomic_Weight_of_M2,descriptor,Standard atomic weight assigned to M2.,u,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Exact lookup source TO BE VERIFIED FROM MANUSCRIPT.
Atomic_Weight_of_N,descriptor,Standard atomic weight assigned to N.,u,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Exact lookup source TO BE VERIFIED FROM MANUSCRIPT.
Covalent_Radius_of_M1,descriptor,Covalent radius assigned to M1.,pm,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Radius convention/source TO BE VERIFIED FROM MANUSCRIPT.
Covalent_Radius_of_M2,descriptor,Covalent radius assigned to M2.,pm,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Radius convention/source TO BE VERIFIED FROM MANUSCRIPT.
Covalent_Radius_of_N,descriptor,Covalent radius assigned to N.,pm,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Radius convention/source TO BE VERIFIED FROM MANUSCRIPT.
VanDer_Waals_Radius_of_M1,descriptor,van der Waals radius assigned to M1.,pm,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Radius convention/source TO BE VERIFIED FROM MANUSCRIPT.
VanDer_Waals_Radius_of_M2,descriptor,van der Waals radius assigned to M2.,pm,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Radius convention/source TO BE VERIFIED FROM MANUSCRIPT.
VanDer_Waals_Radius_of_N,descriptor,van der Waals radius assigned to N.,pm,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Radius convention/source TO BE VERIFIED FROM MANUSCRIPT.
Atomic_Volume_of_M1,descriptor,Atomic volume assigned to M1.,cm^3 mol^-1,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Unit/source TO BE VERIFIED FROM MANUSCRIPT.
Atomic_Volume_of_M2,descriptor,Atomic volume assigned to M2.,cm^3 mol^-1,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Unit/source TO BE VERIFIED FROM MANUSCRIPT.
Atomic_Volume_of_N,descriptor,Atomic volume assigned to N.,cm^3 mol^-1,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Unit/source TO BE VERIFIED FROM MANUSCRIPT.
Electron_Affinity_of_M1,descriptor,Electron affinity assigned to M1.,kJ mol^-1,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Sign convention/source TO BE VERIFIED FROM MANUSCRIPT.
Electron_Affinity_of_M2,descriptor,Electron affinity assigned to M2.,kJ mol^-1,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Sign convention/source TO BE VERIFIED FROM MANUSCRIPT.
Electron_Affinity_of_N,descriptor,Electron affinity assigned to N.,kJ mol^-1,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Sign convention/source TO BE VERIFIED FROM MANUSCRIPT.
d-electron_number_of_M1,descriptor,d-electron count assigned to M1.,dimensionless,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Electronic-state convention TO BE VERIFIED FROM MANUSCRIPT.
d-electron_number_of_M2,descriptor,d-electron count assigned to M2.,dimensionless,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Electronic-state convention TO BE VERIFIED FROM MANUSCRIPT.
p-electron_number_of_N,descriptor,p-electron count assigned to the non-metal/site element N.,dimensionless,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Electronic-state convention TO BE VERIFIED FROM MANUSCRIPT.
Difference_in_the_d-electron_number_of_M1_and_M2,descriptor,d-electron_number_of_M1 - d-electron_number_of_M2,dimensionless,Derived descriptor supplied in dataset.csv,Numeric; missing values replaced by 0. Derivation checked against stored values where unambiguous.
Average_d-electron_number_of_M1_and_M2,descriptor,Arithmetic mean of the M1 and M2 d-electron counts,dimensionless,Derived descriptor supplied in dataset.csv,Numeric; missing values replaced by 0. Derivation checked against stored values where unambiguous.
Number_of_valence_electrons_of_M1,descriptor,Valence-electron count assigned to M1.,dimensionless,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Valence convention TO BE VERIFIED FROM MANUSCRIPT.
Number_of_valence_electrons_of_M2,descriptor,Valence-electron count assigned to M2.,dimensionless,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Valence convention TO BE VERIFIED FROM MANUSCRIPT.
Number_of_valence_electrons_of_N,descriptor,Valence-electron count assigned to N.,dimensionless,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Valence convention TO BE VERIFIED FROM MANUSCRIPT.
Difference_in_the_valence-electron_number_of_M1_and_M2,descriptor,Number_of_valence_electrons_of_M1 - Number_of_valence_electrons_of_M2,dimensionless,Derived descriptor supplied in dataset.csv,Numeric; missing values replaced by 0. Derivation checked against stored values where unambiguous.
Average_valence-electron_number_of_M1_and_M2,descriptor,Arithmetic mean of the M1 and M2 valence-electron counts,dimensionless,Derived descriptor supplied in dataset.csv,Numeric; missing values replaced by 0. Derivation checked against stored values where unambiguous.
First_ionization_energy_of_M1,descriptor,First ionization energy assigned to M1.,kJ mol^-1,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Lookup source TO BE VERIFIED FROM MANUSCRIPT.
First_ionization_energy_of_M2,descriptor,First ionization energy assigned to M2.,kJ mol^-1,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Lookup source TO BE VERIFIED FROM MANUSCRIPT.
First_ionization_energy_of_N,descriptor,First ionization energy assigned to N.,kJ mol^-1,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Lookup source TO BE VERIFIED FROM MANUSCRIPT.
Difference_in_the_First_ionization_energy_of_metals,descriptor,First_ionization_energy_of_M1 - First_ionization_energy_of_M2,kJ mol^-1,Derived descriptor supplied in dataset.csv,Numeric; missing values replaced by 0. Derivation checked against stored values where unambiguous.
Electrical_Conductivity_of_M1,descriptor,Electrical conductivity assigned to M1.,S m^-1,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Temperature/source TO BE VERIFIED FROM MANUSCRIPT.
Electrical_Conductivity_of_M2,descriptor,Electrical conductivity assigned to M2.,S m^-1,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Temperature/source TO BE VERIFIED FROM MANUSCRIPT.
Thermal_Conductivity_of_M1,descriptor,Thermal conductivity assigned to M1.,W m^-1 K^-1,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Temperature/source TO BE VERIFIED FROM MANUSCRIPT.
Thermal_Conductivity_of_M2,descriptor,Thermal conductivity assigned to M2.,W m^-1 K^-1,Element-property lookup used by the original study,Numeric; missing values replaced by 0. Temperature/source TO BE VERIFIED FROM MANUSCRIPT.
Pauling_electronegativity_of_M1,descriptor,Pauling electronegativity assigned to M1.,dimensionless,Element-property lookup used by the original study,Numeric; missing values replaced by 0.
Pauling_electronegativity_of_M2,descriptor,Pauling electronegativity assigned to M2.,dimensionless,Element-property lookup used by the original study,Numeric; missing values replaced by 0.
Pauling_electronegativity_of_N,descriptor,Pauling electronegativity assigned to N.,dimensionless,Element-property lookup used by the original study,Numeric; missing values replaced by 0.
Difference_in_the_electronegativity_of_M1_and_M2,descriptor,Pauling_electronegativity_of_M1 - Pauling_electronegativity_of_M2,dimensionless,Derived descriptor supplied in dataset.csv,Numeric; missing values replaced by 0. Derivation checked against stored values where unambiguous.
Average_electronegativity_of_M1_and_M2,descriptor,Arithmetic mean of M1 and M2 Pauling electronegativities,dimensionless,Derived descriptor supplied in dataset.csv,Numeric; missing values replaced by 0. Derivation checked against stored values where unambiguous.
Average_electronegativity_of_M1_and_N,descriptor,Arithmetic mean of M1 and N Pauling electronegativities,dimensionless,Derived descriptor supplied in dataset.csv,Numeric; missing values replaced by 0. Derivation checked against stored values where unambiguous.
Average_electronegativity_of_M2_and_N,descriptor,Arithmetic mean of M2 and N Pauling electronegativities,dimensionless,Derived descriptor supplied in dataset.csv,Numeric; missing values replaced by 0. Derivation checked against stored values where unambiguous.
Average_electronegativity_of_active_site_(M1-M2-N),descriptor,"Arithmetic mean of M1, M2 and N Pauling electronegativities",dimensionless,Derived descriptor supplied in dataset.csv,Numeric; missing values replaced by 0. Derivation checked against stored values where unambiguous.
Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,descriptor,d-electron_number_of_M1 multiplied by Pauling_electronegativity_of_M2,dimensionless,Derived descriptor supplied in dataset.csv,Numeric; missing values replaced by 0. Derivation checked against stored values where unambiguous.
