record_id,DOI,DOI_raw,data_source,Original_Compounds,Compounds(M1-M2-N),source_reference,source_title
R0001,https://doi.org/10.1016/j.electacta.2020.137645,https://doi.org/10.1016/j.electacta.2020.137645,8,Fe?O?/CeO?@CC,Fe-Ce-O,https://doi.org/10.1016/j.electacta.2020.137645,NOT AVAILABLE IN REPOSITORY
R0002,https://doi.org/10.1016/j.electacta.2020.137645,https://doi.org/10.1016/j.electacta.2020.137645,8,Fe?O?@CC,Fe-**-O,https://doi.org/10.1016/j.electacta.2020.137645,NOT AVAILABLE IN REPOSITORY
R0003,https://doi.org/10.1016/j.apcatb.2019.118283,https://doi.org/10.1016/j.apcatb.2019.118283,16,NiCo?S?/S-3DPG,Co-Ni-S,https://doi.org/10.1016/j.apcatb.2019.118283,NOT AVAILABLE IN REPOSITORY
R0004,https://doi.org/10.1016/j.ssi.2021.115773,https://doi.org/10.1016/j.ssi.2021.115773,18,RuO?/C,Ru-**-O,https://doi.org/10.1016/j.ssi.2021.115773,NOT AVAILABLE IN REPOSITORY
R0005,https://doi.org/10.1016/j.ssi.2021.115773,https://doi.org/10.1016/j.ssi.2021.115773,18,Ni??P?/C,Ni-**-P,https://doi.org/10.1016/j.ssi.2021.115773,NOT AVAILABLE IN REPOSITORY
R0006,https://doi.org/10.1016/j.jpowsour.2021.230374,https://doi.org/10.1016/j.jpowsour.2021.230374,32,α-MnO?,Mn-**-O,https://doi.org/10.1016/j.jpowsour.2021.230374,NOT AVAILABLE IN REPOSITORY
R0007,https://doi.org/10.1016/j.jallcom.2019.152736,https://doi.org/10.1016/j.jallcom.2019.152736,34,MnCo?O?@CC,Mn-Co-O,https://doi.org/10.1016/j.jallcom.2019.152736,NOT AVAILABLE IN REPOSITORY
R0008,https://doi.org/10.1016/j.jallcom.2020.153803,https://doi.org/10.1016/j.jallcom.2020.153803,36,NiO/Ti?C?,Ti-Ni-O,https://doi.org/10.1016/j.jallcom.2020.153803,NOT AVAILABLE IN REPOSITORY
R0009,https://doi.org/10.1016/j.jallcom.2020.158269,https://doi.org/10.1016/j.jallcom.2020.158269,40,FeSe,Se-Fe-O,https://doi.org/10.1016/j.jallcom.2020.158269,NOT AVAILABLE IN REPOSITORY
R0010,https://doi.org/10.1016/j.cej.2020.124294,https://doi.org/10.1016/j.cej.2020.124294,50,p-Fe?P?O? LBs,Fe-**-P,https://doi.org/10.1016/j.cej.2020.124294,NOT AVAILABLE IN REPOSITORY
