record_id,DOI,data_source,fold,assignment
R0001,https://doi.org/10.1016/j.electacta.2020.137645,8,0,train
R0002,https://doi.org/10.1016/j.electacta.2020.137645,8,0,train
R0003,https://doi.org/10.1016/j.apcatb.2019.118283,16,0,train
R0004,https://doi.org/10.1016/j.ssi.2021.115773,18,0,train
R0005,https://doi.org/10.1016/j.ssi.2021.115773,18,0,train
R0006,https://doi.org/10.1016/j.jpowsour.2021.230374,32,0,train
R0007,https://doi.org/10.1016/j.jallcom.2019.152736,34,0,train
R0008,https://doi.org/10.1016/j.jallcom.2020.153803,36,0,train
R0009,https://doi.org/10.1016/j.jallcom.2020.158269,40,0,train
R0012,https://doi.org/10.1016/j.cej.2021.128403,53,0,train
R0013,https://doi.org/10.1016/j.jelechem.2020.114124,58,0,train
R0014,https://doi.org/10.1016/j.jechem.2020.07.053,61,0,train
R0016,https://doi.org/10.1016/j.jallcom.2020.157945,68,0,train
R0017,https://doi.org/10.1016/j.jallcom.2020.154054,70,0,train
R0018,https://doi.org/10.1016/j.jpowsour.2020.228362,71,0,train
R0019,https://doi.org/10.1016/j.jallcom.2020.157656,73,0,train
R0020,https://doi.org/10.1002/aenm.202100110,82,0,train
R0021,https://doi.org/10.1002/anie.202110116,88,0,train
R0022,https://doi.org/10.1002/anie.202110116,88,0,train
R0023,https://doi.org/10.1021/acs.jpcc.1c05456,91,0,train
R0024,https://doi.org/10.1021/acs.jpcc.1c05456,91,0,train
R0025,https://doi.org/10.1021/acs.jpcc.1c05456,91,0,train
R0026,https://doi.org/10.1039/d0cc05980c,102,0,train
R0027,https://doi.org/10.1039/d0nr00866d,104,0,train
R0031,https://doi.org/10.1002/ente.201901257,123,0,train
R0032,https://doi.org/10.1002/ente.201901257,123,0,train
R0033,https://doi.org/10.1021/acsaem.0c01691,126,0,train
R0036,https://doi.org/10.1002/er.7342,137,0,train
R0037,https://doi.org/10.1002/er.6806,138,0,train
R0038,https://doi.org/10.1021/acsami.1c08720,150,0,train
R0039,https://doi.org/10.1021/acsami.9b21904,151,0,train
R0040,https://doi.org/10.1007/s11581-021-04046-5,157,0,train
R0041,https://doi.org/10.1007/s40242-020-0077-3,161,0,train
R0042,https://doi.org/10.1002/smll.202105752,165,0,train
R0043,https://doi.org/10.1002/smll.202105752,165,0,train
R0044,https://doi.org/10.1021/acscatal.0c02608,168,0,train
R0045,https://doi.org/10.1021/acsaem.1c01572,171,0,train
R0046,https://doi.org/10.1021/acsaem.1c01572,171,0,train
R0047,https://doi.org/10.1002/aenm.202200791,176,0,train
R0049,https://doi.org/10.1016/j.apcatb.2022.121844,181,0,train
R0050,https://doi.org/10.1002/aenm.202203660,183,0,train
R0053,https://doi.org/10.1016/j.ensm.2022.07.026,190,0,train
R0054,https://doi.org/10.1016/S1872‐2067(23)64409‐2,191,0,train
R0055,https://doi.org/10.1016/S1872‐2067(23)64409‐2,191,0,train
R0056,https://doi.org/10.1016/j.jallcom.2023.170130,203,0,train
R0057,https://doi.org/10.1002/smll.202205532,208,0,train
R0058,https://doi.org/10.1016/j.electacta.2023.142096,209,0,train
R0059,https://doi.org/10.1016/j.electacta.2022.140147,211,0,train
R0060,https://doi.org/10.1021/acsami.1c22643,214,0,train
R0062,https://doi.org/10.1002/slct.202200870,225,0,train
R0063,https://doi.org/10.1002/slct.202200870,225,0,train
R0064,https://doi.org/10.1002/slct.202200870,225,0,train
R0065,https://doi.org/10.1016/j.cej.2023.146775,227,0,train
R0066,https://doi.org/10.1073/pnas.2301439120/-/DCSupplemental,228,0,train
R0070,https://doi.org/10.1016/j.cej.2022.136852,236,0,train
R0071,https://doi.org/10.1039/d2ta07061h,237,0,train
R0072,https://doi.org/10.1016/j.ijhydene.2023.12.023,241,0,train
R0073,https://doi.org/10.1016/j.jelechem.2022.116356,247,0,train
R0074,https://doi.org/10.1002/smll.202204836,248,0,train
