,Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,Average_d-electron_number_of_M1_and_M2,d-electron_number_of_M2,Average_valence-electron_number_of_M1_and_M2,Atomic_Weight_of_N,Average_electronegativity_of_M1_and_M2,Covalent_Radius_of_N,Overpotential(V)
Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,1.0,0.9872718342085716,0.9713512585608813,0.4469485246032471,0.9683956656577573,0.8661140143378446,0.9056633076078426,-0.026672197912562087,0.9205234992483623,-0.07342316628432134,-0.5405260570836977
Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,0.9872718342085716,1.0,0.985844016234662,0.47594104360953593,0.9552528365412486,0.8304707945137986,0.8974058522345613,-0.0742911623035129,0.9166484291772685,-0.12740674517061576,-0.5340062116693354
Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,0.9713512585608813,0.985844016234662,1.0,0.44403760203902665,0.9439446720043954,0.8086688885806907,0.8877341530384736,-0.032279296307762544,0.9159191783770111,-0.08292399172029329,-0.5085938076907679
Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,0.4469485246032471,0.47594104360953593,0.44403760203902665,1.0,0.31037336714525465,0.1405923726878094,0.20173409363717543,-0.11367916800368078,0.20099025286702957,-0.14388253272240023,-0.5010987398034817
Average_d-electron_number_of_M1_and_M2,0.9683956656577573,0.9552528365412486,0.9439446720043954,0.31037336714525465,1.0,0.9550092534539089,0.957242920809609,-0.02918152457519018,0.9734028689510295,-0.08321367431339427,-0.479878271137862
d-electron_number_of_M2,0.8661140143378446,0.8304707945137986,0.8086688885806907,0.1405923726878094,0.9550092534539089,1.0,0.9281054701796037,-0.02362356977836245,0.9367339166789685,-0.07573585709323113,-0.4168581182672448
Average_valence-electron_number_of_M1_and_M2,0.9056633076078426,0.8974058522345613,0.8877341530384736,0.20173409363717543,0.957242920809609,0.9281054701796037,1.0,-0.04436380597713414,0.9713292479557826,-0.09626386651320377,-0.41478475107175805
Atomic_Weight_of_N,-0.026672197912562087,-0.0742911623035129,-0.032279296307762544,-0.11367916800368078,-0.02918152457519018,-0.02362356977836245,-0.04436380597713414,1.0,-0.04179650355533762,0.9365865652528831,0.4132964871365359
Average_electronegativity_of_M1_and_M2,0.9205234992483623,0.9166484291772685,0.9159191783770111,0.20099025286702957,0.9734028689510295,0.9367339166789685,0.9713292479557826,-0.04179650355533762,1.0,-0.09514302929885574,-0.40435362183142887
Covalent_Radius_of_N,-0.07342316628432134,-0.12740674517061576,-0.08292399172029329,-0.14388253272240023,-0.08321367431339427,-0.07573585709323113,-0.09626386651320377,0.9365865652528831,-0.09514302929885574,1.0,0.4036242334184061
Overpotential(V),-0.5405260570836977,-0.5340062116693354,-0.5085938076907679,-0.5010987398034817,-0.479878271137862,-0.4168581182672448,-0.41478475107175805,0.4132964871365359,-0.40435362183142887,0.4036242334184061,1.0
