feature,pearson_r,p_value,abs_r
Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,-0.5405260570836978,1.4394422877009737e-16,0.5405260570836978
Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,-0.5340062116693349,3.8614098820073574e-16,0.5340062116693349
Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,-0.5085938076907678,1.485773833690856e-14,0.5085938076907678
Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,-0.5010987398034819,4.1195016792764087e-14,0.5010987398034819
Average_d-electron_number_of_M1_and_M2,-0.47987827113786186,6.482103500868007e-13,0.47987827113786186
d-electron_number_of_M2,-0.41685811826724517,8.246155494928169e-10,0.41685811826724517
Average_valence-electron_number_of_M1_and_M2,-0.4147847510717584,1.0184501534114066e-09,0.4147847510717584
Atomic_Weight_of_N,0.4132964871365362,1.1840485455276257e-09,0.4132964871365362
Average_electronegativity_of_M1_and_M2,-0.4043536218314291,2.883033021616417e-09,0.4043536218314291
Covalent_Radius_of_N,0.40362423341840664,3.09650028266243e-09,0.40362423341840664
Electron_Affinity_of_M2,-0.39982456466121663,4.479908601885045e-09,0.39982456466121663
Pauling_electronegativity_of_M2,-0.3863258100371877,1.6032881954823323e-08,0.3863258100371877
Average_electronegativity_of_active_site_(M1-M2-N),-0.38237244391142755,2.3042003402425356e-08,0.38237244391142755
d-electron_number_of_M1,-0.3776715717956876,3.524622237586921e-08,0.3776715717956876
Average_electronegativity_of_M2_and_N,-0.36719290153843764,8.87578784242679e-08,0.36719290153843764
Number_of_valence_electrons_of_M2,-0.36269437395744686,1.3063932895081892e-07,0.36269437395744686
Average_electronegativity_of_M1_and_N,-0.35343479130148936,2.841779574397101e-07,0.35343479130148936
First_ionization_energy_of_M2,-0.34937114424780963,3.9660240256366175e-07,0.34937114424780963
Thermal_Conductivity_of_M2,-0.3413748224144042,7.539468703886048e-07,0.3413748224144042
d-band_center_of_M2,0.3305388060505352,1.7505769731859091e-06,0.3305388060505352
First_ionization_energy_of_N,-0.31977357449660615,3.9175881988378386e-06,0.31977357449660615
Pauling_electronegativity_of_N,-0.31903965237868376,4.134121357836353e-06,0.31903965237868376
Pauling_electronegativity_of_M1,-0.3162195664055122,5.076798183664218e-06,0.3162195664055122
VanDer_Waals_Radius_of_N,0.3158318664945406,5.221355066629434e-06,0.3158318664945406
First_ionization_energy_of_M1,-0.31504744583809563,5.525880982799014e-06,0.31504744583809563
Atomic_Weight_of_M2,-0.3059771610007377,1.052057563546692e-05,0.3059771610007377
Covalent_Radius_of_M2,-0.3019424070795833,1.3915179803476829e-05,0.3019424070795833
VanDer_Waals_Radius_of_M2,-0.3016546262100017,1.4193277286326942e-05,0.3016546262100017
Electron_Affinity_of_M1,-0.2919254425115204,2.7371677533386376e-05,0.2919254425115204
Electrical_Conductivity_of_M2,-0.275361166673888,7.93515984306635e-05,0.275361166673888
Number_of_valence_electrons_of_M1,-0.2696988785964672,0.00011245313772877144,0.2696988785964672
Difference_in_the_First_ionization_energy_of_metals,-0.22733059849626447,0.0012067490055513344,0.22733059849626447
Electrical_Conductivity_of_M1,-0.20158881417163893,0.0042034922446505495,0.20158881417163893
Atomic_Volume_of_M2,-0.19591634694415674,0.005430796820587667,0.19591634694415674
Thermal_Conductivity_of_M1,-0.16618630463177272,0.018678999975459527,0.16618630463177272
d-band_center_of_M1,0.13327451256213096,0.059921088583858736,0.13327451256213096
Difference_in_the_valence-electron_number_of_M1_and_M2,-0.12520242268871215,0.07731388040730881,0.12520242268871215
Difference_in_the_d-electron_number_of_M1_and_M2,-0.12184372931568219,0.08566182400522734,0.12184372931568219
Difference_in_the_electronegativity_of_M1_and_M2,-0.09725417349814026,0.17068359138979605,0.09725417349814026
Electron_Affinity_of_N,0.09335421720675673,0.18856840831728913,0.09335421720675673
Current_density(mA/g),-0.08955057452047782,0.2072968033345614,0.08955057452047782
Atomic_Volume_of_N,0.0866072833439346,0.22268200942664973,0.0866072833439346
Atomic_Volume_of_M1,0.08045082031934832,0.2574446242830468,0.08045082031934832
Limited_specific_capacity(mAh/g).1,-0.05819263421284544,0.41306967013946283,0.05819263421284544
VanDer_Waals_Radius_of_M1,-0.055120936822051866,0.4382030215097015,0.055120936822051866
Number_of_valence_electrons_of_N,-0.04572622533027675,0.5202568261037052,0.04572622533027675
p-electron_number_of_N,-0.04451480779274666,0.5313812799079453,0.04451480779274666
Current_density(mA/g).1,-0.030207268411824837,0.6711176992759025,0.030207268411824837
Atomic_Weight_of_M1,0.02634143064023731,0.7111937307425392,0.02634143064023731
Covalent_Radius_of_M1,0.009884153857525405,0.8895210554658454,0.009884153857525405
Limited_specific_capacity(mAh/g),0.006806245730205173,0.9237964664082896,0.006806245730205173
