Current_density(mA/g),Limited_specific_capacity(mAh/g),Current_density(mA/g).1,Limited_specific_capacity(mAh/g).1,Atomic_Weight_of_M1,Atomic_Weight_of_M2,Atomic_Weight_of_N,Covalent_Radius_of_M1,Covalent_Radius_of_M2,Covalent_Radius_of_N,VanDer_Waals_Radius_of_M1,VanDer_Waals_Radius_of_M2,VanDer_Waals_Radius_of_N,Atomic_Volume_of_M1,Atomic_Volume_of_M2,Atomic_Volume_of_N,Electron_Affinity_of_M1,Electron_Affinity_of_M2,Electron_Affinity_of_N,d-electron_number_of_M1,d-electron_number_of_M2,p-electron_number_of_N,Difference_in_the_d-electron_number_of_M1_and_M2,Average_d-electron_number_of_M1_and_M2,Number_of_valence_electrons_of_M1,Number_of_valence_electrons_of_M2,Number_of_valence_electrons_of_N,Difference_in_the_valence-electron_number_of_M1_and_M2,Average_valence-electron_number_of_M1_and_M2,First_ionization_energy_of_M1,First_ionization_energy_of_M2,First_ionization_energy_of_N,Difference_in_the_First_ionization_energy_of_metals,Electrical_Conductivity_of_M1,Electrical_Conductivity_of_M2,Thermal_Conductivity_of_M1,Thermal_Conductivity_of_M2,Pauling_electronegativity_of_M1,Pauling_electronegativity_of_M2,Pauling_electronegativity_of_N,Difference_in_the_electronegativity_of_M1_and_M2,Average_electronegativity_of_M1_and_M2,Average_electronegativity_of_M1_and_N,Average_electronegativity_of_M2_and_N,Average_electronegativity_of_active_site_(M1-M2-N),Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,d-band_center_of_M1,d-band_center_of_M2
340.0,500.0,340.0,500.0,55.845,140.12,15.999,115.0,165.0,73.0,194.0,235.0,152.0,7.11,20.6,14.0,15.0,50.0,141.0,6.0,1.0,4.0,5.0,3.5,8.0,4.0,6.0,4.0,6.0,762.5,534.4,1313.9,228.1,10000000.0,1140000.0,80.4,11.3,1.83,1.12,3.44,0.71,1.475,2.635,2.28,2.13,6.72,20.64,13.68,1680.0,-1.45,0.0
340.0,500.0,340.0,500.0,55.845,0.0,15.999,115.0,0.0,73.0,194.0,0.0,152.0,7.11,0.0,14.0,15.0,0.0,141.0,6.0,0.0,4.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,762.5,0.0,1313.9,0.0,10000000.0,0.0,80.4,0.0,1.83,0.0,3.44,0.0,0.0,2.635,0.0,0.0,0.0,20.64,0.0,0.0,-1.45,0.0
150.0,1000.0,150.0,1000.0,58.933,58.693,32.06,116.0,115.0,102.0,192.0,163.0,180.0,6.71,6.59,15.5,63.0,112.0,200.4,7.0,8.0,4.0,-1.0,7.5,9.0,10.0,6.0,-1.0,9.5,760.4,737.1,999.6,23.3,17200000.0,14400000.0,100.0,91.4,1.88,1.91,2.58,-0.03,1.895,2.23,2.245,2.123333333,13.37,18.06,15.715,1890.0,-1.3,-1.4
200.0,500.0,200.0,500.0,101.07,0.0,15.999,126.0,0.0,73.0,207.0,0.0,152.0,8.3,0.0,14.0,101.3,0.0,141.0,7.0,0.0,4.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,710.2,0.0,1313.9,0.0,13700000.0,0.0,117.0,0.0,2.2,0.0,3.44,0.0,0.0,2.82,0.0,0.0,0.0,24.08,0.0,0.0,-1.2,0.0
200.0,500.0,200.0,500.0,58.693,0.0,30.974,115.0,0.0,107.0,163.0,0.0,180.0,6.59,0.0,17.0,112.0,0.0,72.0,8.0,0.0,3.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,737.1,0.0,1011.8,0.0,14400000.0,0.0,91.4,0.0,1.91,0.0,2.19,0.0,0.0,2.05,0.0,0.0,0.0,17.52,0.0,0.0,-1.4,0.0
200.0,1000.0,200.0,1000.0,54.938,0.0,15.999,139.0,0.0,73.0,197.0,0.0,152.0,7.39,0.0,14.0,50.0,0.0,141.0,5.0,0.0,4.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,717.3,0.0,1313.9,0.0,695000.0,0.0,7.81,0.0,1.55,0.0,3.44,0.0,0.0,2.495,0.0,0.0,0.0,17.2,0.0,0.0,-1.6,0.0
340.0,500.0,340.0,500.0,54.938,58.933,15.999,139.0,116.0,73.0,197.0,192.0,152.0,7.39,6.71,14.0,50.0,63.0,141.0,5.0,7.0,4.0,-2.0,6.0,7.0,9.0,6.0,-2.0,8.0,717.3,760.4,1313.9,-43.1,695000.0,17200000.0,7.81,100.0,1.55,1.88,3.44,-0.33,1.715,2.495,2.66,2.29,9.4,17.2,13.3,1275.0,-1.6,-1.3
500.0,500.0,500.0,500.0,47.867,58.693,15.999,136.0,115.0,73.0,187.0,163.0,152.0,10.64,6.59,14.0,7.6,112.0,141.0,2.0,8.0,4.0,-6.0,5.0,4.0,10.0,6.0,-6.0,7.0,658.8,737.1,1313.9,-78.3,2340000.0,14400000.0,21.9,91.4,1.54,1.91,3.44,-0.37,1.725,2.49,2.675,2.296666667,3.82,6.88,5.35,502.0,-2.2,-1.4
200.0,1000.0,200.0,1000.0,78.971,55.845,15.999,116.0,115.0,73.0,190.0,194.0,152.0,16.4,7.11,14.0,195.0,15.0,141.0,10.0,6.0,4.0,4.0,8.0,6.0,8.0,6.0,-2.0,7.0,941.0,762.5,1313.9,178.5,1e-06,10000000.0,0.519,80.4,2.55,1.83,3.44,0.72,2.19,2.995,2.635,2.606666667,18.3,34.4,26.35,2310.0,0.0,-1.45
500.0,500.0,500.0,500.0,55.845,0.0,30.974,115.0,0.0,107.0,194.0,0.0,180.0,7.11,0.0,17.0,15.0,0.0,72.0,6.0,0.0,3.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,762.5,0.0,1011.8,0.0,10000000.0,0.0,80.4,0.0,1.83,0.0,2.19,0.0,0.0,2.01,0.0,0.0,0.0,13.14,0.0,0.0,-1.45,0.0
500.0,2000.0,500.0,2000.0,55.845,0.0,30.974,115.0,0.0,107.0,194.0,0.0,180.0,7.11,0.0,17.0,15.0,0.0,72.0,6.0,0.0,3.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,762.5,0.0,1011.8,0.0,10000000.0,0.0,80.4,0.0,1.83,0.0,2.19,0.0,0.0,2.01,0.0,0.0,0.0,13.14,0.0,0.0,-1.45,0.0
