feature,spearman_rho,p_value,abs_rho
Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,-0.6253191462147784,4.256507478584602e-23,0.6253191462147784
Average_electronegativity_of_M1_and_N,-0.5521579645821519,2.3452742244234356e-17,0.5521579645821519
Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,-0.46328321149582424,4.919048759567681e-12,0.46328321149582424
Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,-0.46243869918334557,5.437723246171189e-12,0.46243869918334557
Average_electronegativity_of_active_site_(M1-M2-N),-0.46076245765174906,6.629447397242698e-12,0.46076245765174906
Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,-0.44542032804716225,3.8705100844058655e-11,0.44542032804716225
Average_electronegativity_of_M1_and_M2,-0.43187760956936233,1.7105022576461517e-10,0.43187760956936233
Average_d-electron_number_of_M1_and_M2,-0.42940752056105747,2.2273523726477708e-10,0.42940752056105747
d-electron_number_of_M1,-0.4057504719175619,2.5132245251340375e-09,0.4057504719175619
Average_electronegativity_of_M2_and_N,-0.3887335802388858,1.2824973368624646e-08,0.3887335802388858
Average_valence-electron_number_of_M1_and_M2,-0.3867248867342101,1.545238839341192e-08,0.3867248867342101
Pauling_electronegativity_of_M2,-0.3744855110224757,4.6835165119546556e-08,0.3744855110224757
First_ionization_energy_of_N,-0.3661973063694813,9.673424088541628e-08,0.3661973063694813
d-electron_number_of_M2,-0.35725613749995955,2.0682219730749337e-07,0.35725613749995955
Covalent_Radius_of_N,0.34837637515448283,4.3001632081344806e-07,0.34837637515448283
VanDer_Waals_Radius_of_N,0.3438455464771028,6.193912747501766e-07,0.3438455464771028
Atomic_Weight_of_N,0.3368839641265311,1.0731213686894306e-06,0.3368839641265311
Electron_Affinity_of_M2,-0.33471333309752815,1.2702499973510487e-06,0.33471333309752815
Thermal_Conductivity_of_M2,-0.328745605589047,2.006262146904326e-06,0.328745605589047
Pauling_electronegativity_of_N,-0.3231119067755547,3.061713821770661e-06,0.3231119067755547
Pauling_electronegativity_of_M1,-0.3193467077517577,4.042179400443708e-06,0.3193467077517577
Number_of_valence_electrons_of_M2,-0.3143201289052347,5.823250902047697e-06,0.3143201289052347
Electrical_Conductivity_of_M2,-0.3059724541776399,1.0524033719777634e-05,0.3059724541776399
Electron_Affinity_of_M1,-0.30020511966779395,1.5675823896160678e-05,0.30020511966779395
Atomic_Weight_of_M2,-0.2917474963305276,2.7696347938177636e-05,0.2917474963305276
First_ionization_energy_of_M2,-0.287435864525093,3.6767799394762024e-05,0.287435864525093
Electrical_Conductivity_of_M1,-0.28425979905915066,4.5168586765793036e-05,0.28425979905915066
d-band_center_of_M2,0.2771310182823055,7.104686148906834e-05,0.2771310182823055
Number_of_valence_electrons_of_M1,-0.266949074525911,0.00013283465816401666,0.266949074525911
Atomic_Volume_of_M2,-0.26232980462384825,0.00017502137869692276,0.26232980462384825
Difference_in_the_First_ionization_energy_of_metals,-0.26142896127543025,0.00018458544017633654,0.26142896127543025
VanDer_Waals_Radius_of_M2,-0.25108436685675056,0.00033548751312919927,0.25108436685675056
Covalent_Radius_of_M2,-0.24933122192175658,0.00037033305869223194,0.24933122192175658
Thermal_Conductivity_of_M1,-0.2376813498054462,0.0007016098022941108,0.2376813498054462
First_ionization_energy_of_M1,-0.19066537184656357,0.006843431173708143,0.19066537184656357
VanDer_Waals_Radius_of_M1,0.1884559015006678,0.007529900744607886,0.1884559015006678
Current_density(mA/g),-0.1616880018288998,0.022175253544268244,0.1616880018288998
Atomic_Weight_of_M1,-0.16046977190668055,0.02321420586627289,0.16046977190668055
Atomic_Volume_of_N,0.1488118811455791,0.03546134606868202,0.1488118811455791
Difference_in_the_valence-electron_number_of_M1_and_M2,-0.135774832413069,0.055238301372832484,0.135774832413069
Difference_in_the_d-electron_number_of_M1_and_M2,-0.09577525464762443,0.1773112296966143,0.09577525464762443
p-electron_number_of_N,-0.08158174119718978,0.25079368577821126,0.08158174119718978
Number_of_valence_electrons_of_N,-0.08124909635976073,0.2527374906785368,0.08124909635976073
Limited_specific_capacity(mAh/g).1,-0.08097897748794002,0.25432357183744647,0.08097897748794002
Electron_Affinity_of_N,0.07705221389575467,0.27815833794154504,0.07705221389575467
d-band_center_of_M1,-0.07581479679813961,0.285972241890046,0.07581479679813961
Atomic_Volume_of_M1,0.06159134417771105,0.38627282947296704,0.06159134417771105
Covalent_Radius_of_M1,-0.05771591481022246,0.41691379234295034,0.05771591481022246
Current_density(mA/g).1,-0.05324420781059092,0.4539787216807257,0.05324420781059092
Difference_in_the_electronegativity_of_M1_and_M2,-0.051838870133085295,0.4659970812625678,0.051838870133085295
Limited_specific_capacity(mAh/g),-0.03868517147130982,0.5865341031066557,0.03868517147130982
DOI,,,
