Overpotential(V),Cycling_performance
1.3,94
1.5,64
1.27,101
1.1,36
1.4,28
1.24,32
1.35,108
1.25,45
1.0,130
1.35,400
1.4,80
0.97,320
1.25,90
0.98,30
1.25,80
1.012,280
0.82,330
1.35,137
1.4,45
0.95,150
1.4,55
1.3,103
1.15,306
1.2,85
1.15,169
1.2,150
1.5,76
1.05,107
1.3,200
1.05,320
1.15,75
1.2,40
1.35,95
1.45,132
1.15,300
1.21,68
1.0,15
0.84,100
1.3,20
0.9,130
1.15,55
1.4,82
1.25,47
1.35,60
1.1,147
1.3,64
1.0,80
1.0,106
0.92,188
1.33,56
1.21,145
1.1,104
1.1,90
1.1,250
1.15,160
1.29,62
1.08,280
0.99,182
1.11,126
1.0,250
1.15,69
1.04,194
1.1,99
1.11,114
1.0,100
1.11,105
1.2,81
1.03,91
1.38,42
1.06,128
1.34,190
1.4,205
1.3,130
1.25,115
1.18,165
0.98,150
1.04,81
1.29,157
1.41,57
1.01,54
1.2,85
1.25,67
1.25,71
1.17,53
1.05,150
1.35,187
1.5,106
1.4,121
1.28,51
1.22,201
1.23,180
1.32,50
1.09,90
1.05,72
0.98,152
0.95,50
1.2,53
1.25,10
1.38,42
1.15,63
1.15,14
1.2,81
1.2,64
1.15,90
1.1,90
1.08,220
1.2,80
1.17,400
1.25,105
1.2,53
1.25,162
1.12,275
0.85,250
1.1,98
1.14,300
1.23,60
1.18,95
1.42,190
0.98,120
1.3,230
1.4,148
1.5,90
1.1,140
1.15,89
1.08,140
1.04,325
1.25,118
1.25,121
1.39,112
1.45,66
1.0,124
1.15,195
1.25,100
1.04,126
1.25,81
1.3,75
1.2,40
1.3,40
1.2,350
0.8,850
0.83,594
0.96,440
1.18,300
1.41,31
1.1,146
1.1,212
0.89,150
0.998,387
0.94,135
1.15,180
1.18,83
1.25,14
1.25,151
1.24,80
1.36,26
1.3,73
1.35,57
1.3,150
0.86,220
0.77,148
1.29,13
1.1,150
1.4,31
1.08,225
1.1,300
1.2,108
1.3,30
1.01,93
1.4,40
1.4,34
1.28,21
1.3,38
0.94,245
1.25,55
0.95,272
1.0,100
1.35,20
1.25,83
1.1,111
1.3,242
1.45,196
1.25,163
1.4,107
1.45,86
1.2,155
1.4,45
1.38,154
1.2,126
1.3,79
1.3,63
1.25,75
1.25,100
0.95,220
1.22,125
1.32,100
0.84,133
1.11,110
1.05,298
1.17,183
1.12,10
