tSNE_1,tSNE_2,Overpotential(V)
31.28597,5.488575,1.3
-9.043939,-0.8576448,1.5
18.675459,3.533437,1.27
-8.263228,2.6800508,1.1
-17.644503,-11.540772,1.4
-9.065052,-3.9691627,1.24
20.949144,-0.8239404,1.35
19.403,-2.2072258,1.25
30.712082,-0.48244646,1.0
-18.694078,-13.001627,1.35
-16.177122,-8.807407,1.4
23.285547,2.368451,0.97
19.162315,6.2441726,1.25
-15.054031,-4.0190325,0.98
17.325962,4.3758492,1.25
23.285547,2.368451,1.012
23.860056,0.8240008,0.82
16.56603,-4.5453987,1.35
-14.3631525,-11.5991535,1.4
25.594677,3.821518,0.95
31.840368,6.257331,1.4
32.44067,5.6705027,1.3
-8.889183,4.0719323,1.15
-8.889183,4.0719323,1.2
-8.085067,4.2628007,1.15
-8.927459,1.2745446,1.2
-7.6905723,-5.752884,1.5
25.157164,-3.7097542,1.05
-19.826965,2.1002448,1.3
24.071125,7.6696815,1.05
-6.8898196,-3.760176,1.15
-6.897168,-3.7514567,1.2
14.950251,-5.515233,1.35
-15.966425,-11.000209,1.45
27.123114,0.7904829,1.15
-8.783626,-4.384194,1.21
27.012968,8.791711,1.0
25.001219,-0.28006387,0.84
14.730076,-5.0626616,1.3
23.065056,0.5475417,0.9
-9.701161,-3.6980588,1.15
-14.52662,-11.550867,1.4
-13.92097,-12.8884325,1.25
14.448193,-4.414798,1.35
27.005413,8.7871275,1.1
31.812132,5.3297005,1.3
31.634277,0.788583,1.0
31.674707,0.6814144,1.0
32.26127,0.962455,0.92
-18.096819,6.015872,1.33
24.618736,6.5237107,1.21
26.454142,0.14956078,1.1
20.762594,-3.8589737,1.1
26.082489,1.1712846,1.1
26.082489,1.1712846,1.15
-9.704398,-4.891085,1.29
25.32956,3.619297,1.08
22.955042,5.8609247,0.99
-18.126362,3.3080406,1.11
24.445677,5.3986497,1.0
-7.929653,0.8029674,1.15
23.285547,2.368451,1.04
-17.868492,2.0649097,1.1
-18.126362,3.3080406,1.11
33.20816,1.116661,1.0
-16.974367,-0.72514355,1.11
-11.719852,3.348409,1.2
30.76302,-0.5270995,1.03
15.234216,-3.8180046,1.38
22.54024,2.920099,1.06
-17.564135,-10.699816,1.34
-17.56367,-12.665497,1.4
-16.61807,6.082702,1.3
-19.3967,2.6630633,1.25
-18.504808,3.873333,1.18
23.43849,4.94818,0.98
-16.826807,2.1433687,1.04
15.882526,-4.537915,1.29
31.840368,6.257331,1.41
32.24267,3.9675822,1.01
-8.939358,2.9755378,1.2
-9.411218,2.9233391,1.25
-9.600382,3.5271082,1.25
-8.333441,-2.6859446,1.17
-17.492706,2.1050973,1.05
-17.56367,-12.665497,1.35
-17.56367,-12.665497,1.5
-17.56367,-12.665497,1.4
-16.61807,6.082702,1.28
-12.156402,3.752055,1.22
-9.694464,1.4931456,1.23
-17.490116,5.6060886,1.32
30.981764,-0.53278834,1.09
-12.39381,1.480433,1.05
-15.05562,-4.0178933,0.98
26.414877,4.248464,0.95
-8.092197,-2.8160012,1.2
-9.066713,-4.8321295,1.25
15.234216,-3.8180046,1.38
-9.770181,-4.446901,1.15
-9.701161,-3.6980588,1.15
-8.207734,3.2876613,1.2
-9.553859,0.44786713,1.2
26.082489,1.1712846,1.15
-8.419982,0.49502212,1.1
26.082489,1.1712846,1.08
30.652655,6.258299,1.2
-11.890135,2.9445457,1.17
-13.622636,-12.8388405,1.25
21.671278,-3.2794554,1.2
-17.060966,6.3884177,1.25
28.169643,1.7745212,1.12
23.848082,-1.1062809,0.85
-6.700866,2.5966582,1.1
-10.772747,0.71056294,1.14
16.673006,3.6892638,1.23
-16.63733,-13.95103,1.18
-17.297342,-10.074908,1.42
-16.272806,4.9010015,0.98
19.117172,3.5042536,1.3
-15.144255,-10.580826,1.4
-15.817959,-12.162993,1.5
-8.954534,0.42555177,1.1
-8.433632,1.177036,1.15
25.535881,2.098606,1.08
24.266315,5.640517,1.04
19.205711,-2.15467,1.25
16.181187,-3.9355993,1.25
16.139997,-5.3342276,1.39
15.748234,-5.55741,1.45
-15.05562,-4.0178933,1.0
27.351826,1.6948957,1.15
27.436638,3.7019415,1.25
-17.266975,4.06602,1.04
-14.320212,-13.973496,1.25
-20.091677,-4.8975406,1.3
-20.271917,3.0904255,1.2
-7.771646,-1.6488991,1.3
-13.396901,-0.24604554,1.2
23.065056,0.5475417,0.8
23.860056,0.8240008,0.83
