record_id,Overpotential(V)
R0001,1.3
R0002,1.5
R0003,1.27
R0004,1.1
R0005,1.4
R0006,1.24
R0007,1.35
R0008,1.25
R0009,1.0
R0010,1.35
R0011,1.4
R0012,0.97
R0013,1.25
R0014,0.98
R0015,1.25
R0016,1.012
R0017,0.82
R0018,1.35
R0019,1.4
R0020,0.95
R0021,1.4
R0022,1.3
R0023,1.15
R0024,1.2
R0025,1.15
R0026,1.2
R0027,1.5
R0028,1.05
R0029,1.3
R0030,1.05
R0031,1.15
R0032,1.2
R0033,1.35
R0034,1.45
R0035,1.15
R0036,1.21
R0037,1.0
R0038,0.84
R0039,1.3
R0040,0.9
R0041,1.15
R0042,1.4
R0043,1.25
R0044,1.35
R0045,1.1
R0046,1.3
R0047,1.0
R0048,1.0
R0049,0.92
R0050,1.33
R0051,1.21
R0052,1.1
R0053,1.1
R0054,1.1
R0055,1.15
R0056,1.29
R0057,1.08
R0058,0.99
R0059,1.11
R0060,1.0
R0061,1.15
R0062,1.04
R0063,1.1
R0064,1.11
R0065,1.0
R0066,1.11
R0067,1.2
R0068,1.03
R0069,1.38
R0070,1.06
R0071,1.34
R0072,1.4
R0073,1.3
R0074,1.25
R0075,1.18
R0076,0.98
R0077,1.04
R0078,1.29
R0079,1.41
R0080,1.01
R0081,1.2
R0082,1.25
R0083,1.25
R0084,1.17
R0085,1.05
R0086,1.35
R0087,1.5
R0088,1.4
R0089,1.28
R0090,1.22
R0091,1.23
R0092,1.32
R0093,1.09
R0094,1.05
R0095,0.98
R0096,0.95
R0097,1.2
R0098,1.25
R0099,1.38
R0100,1.15
R0101,1.15
R0102,1.2
R0103,1.2
R0104,1.15
R0105,1.1
R0106,1.08
R0107,1.2
R0108,1.17
R0109,1.25
R0110,1.2
R0111,1.25
R0112,1.12
R0113,0.85
R0114,1.1
R0115,1.14
R0116,1.23
R0117,1.18
R0118,1.42
R0119,0.98
R0120,1.3
R0121,1.4
R0122,1.5
R0123,1.1
R0124,1.15
R0125,1.08
R0126,1.04
R0127,1.25
R0128,1.25
R0129,1.39
R0130,1.45
R0131,1.0
R0132,1.15
R0133,1.25
R0134,1.04
R0135,1.25
R0136,1.3
R0137,1.2
R0138,1.3
R0139,1.2
R0140,0.8
R0141,0.83
R0142,0.96
R0143,1.18
R0144,1.41
R0145,1.1
R0146,1.1
R0147,0.89
R0148,0.998
R0149,0.94
R0150,1.15
R0151,1.18
R0152,1.25
R0153,1.25
R0154,1.24
R0155,1.36
R0156,1.3
R0157,1.35
R0158,1.3
R0159,0.86
R0160,0.77
R0161,1.29
R0162,1.1
R0163,1.4
R0164,1.08
R0165,1.1
R0166,1.2
R0167,1.3
R0168,1.01
R0169,1.4
R0170,1.4
R0171,1.28
R0172,1.3
R0173,0.94
R0174,1.25
R0175,0.95
R0176,1.0
R0177,1.35
R0178,1.25
R0179,1.1
R0180,1.3
R0181,1.45
R0182,1.25
R0183,1.4
R0184,1.45
R0185,1.2
R0186,1.4
R0187,1.38
R0188,1.2
R0189,1.3
R0190,1.3
R0191,1.25
R0192,1.25
R0193,0.95
R0194,1.22
R0195,1.32
R0196,0.84
R0197,1.11
R0198,1.05
R0199,1.17
R0200,1.12
