element_1,element_2,cooccurrence_count
Co,Co,0
Ni,Co,27
Fe,Co,6
Ru,Co,7
Mn,Co,3
La,Co,3
Mo,Co,2
Ti,Co,1
Cr,Co,0
Sn,Co,0
Pd,Co,0
Cu,Co,2
Ag,Co,0
Bi,Co,0
Pt,Co,1
In,Co,0
V,Co,0
Ir,Co,1
Co,Ni,27
Ni,Ni,0
Fe,Ni,3
Ru,Ni,0
Mn,Ni,0
La,Ni,2
Mo,Ni,1
Ti,Ni,1
Cr,Ni,2
Sn,Ni,0
Pd,Ni,0
Cu,Ni,0
Ag,Ni,0
Bi,Ni,0
Pt,Ni,0
In,Ni,0
V,Ni,0
Ir,Ni,0
Co,Fe,6
Ni,Fe,3
Fe,Fe,0
Ru,Fe,1
Mn,Fe,1
La,Fe,9
Mo,Fe,1
Ti,Fe,0
Cr,Fe,0
Sn,Fe,0
Pd,Fe,0
Cu,Fe,0
Ag,Fe,1
Bi,Fe,0
Pt,Fe,0
In,Fe,0
V,Fe,0
Ir,Fe,0
Co,Ru,7
Ni,Ru,0
Fe,Ru,1
Ru,Ru,0
Mn,Ru,0
La,Ru,0
Mo,Ru,0
Ti,Ru,0
Cr,Ru,0
Sn,Ru,0
Pd,Ru,0
Cu,Ru,0
Ag,Ru,0
Bi,Ru,0
Pt,Ru,0
In,Ru,0
V,Ru,0
Ir,Ru,0
Co,Mn,3
Ni,Mn,0
Fe,Mn,1
Ru,Mn,0
Mn,Mn,0
La,Mn,3
Mo,Mn,2
Ti,Mn,0
Cr,Mn,0
Sn,Mn,0
Pd,Mn,0
Cu,Mn,0
Ag,Mn,1
Bi,Mn,0
Pt,Mn,0
In,Mn,0
V,Mn,0
Ir,Mn,0
Co,La,3
Ni,La,2
Fe,La,9
Ru,La,0
Mn,La,3
La,La,0
Mo,La,0
Ti,La,0
Cr,La,1
Sn,La,1
Pd,La,0
Cu,La,0
Ag,La,0
Bi,La,0
Pt,La,0
In,La,0
V,La,0
Ir,La,0
Co,Mo,2
Ni,Mo,1
Fe,Mo,1
Ru,Mo,0
Mn,Mo,2
La,Mo,0
Mo,Mo,0
Ti,Mo,0
Cr,Mo,0
Sn,Mo,0
Pd,Mo,0
Cu,Mo,0
Ag,Mo,0
Bi,Mo,0
Pt,Mo,0
In,Mo,0
V,Mo,0
Ir,Mo,0
Co,Ti,1
Ni,Ti,1
Fe,Ti,0
Ru,Ti,0
Mn,Ti,0
La,Ti,0
Mo,Ti,0
Ti,Ti,0
Cr,Ti,0
Sn,Ti,0
Pd,Ti,0
Cu,Ti,0
Ag,Ti,0
Bi,Ti,0
Pt,Ti,1
In,Ti,0
V,Ti,0
Ir,Ti,0
Co,Cr,0
Ni,Cr,2
Fe,Cr,0
Ru,Cr,0
Mn,Cr,0
La,Cr,1
Mo,Cr,0
Ti,Cr,0
Cr,Cr,0
Sn,Cr,0
Pd,Cr,1
Cu,Cr,0
Ag,Cr,0
Bi,Cr,0
Pt,Cr,0
In,Cr,0
V,Cr,1
Ir,Cr,0
Co,Sn,0
Ni,Sn,0
Fe,Sn,0
Ru,Sn,0
Mn,Sn,0
La,Sn,1
Mo,Sn,0
Ti,Sn,0
Cr,Sn,0
Sn,Sn,0
Pd,Sn,0
Cu,Sn,0
Ag,Sn,0
Bi,Sn,0
Pt,Sn,0
In,Sn,0
V,Sn,0
