element_group,frequency,cumulative_count,cumulative_percent
Co-Ni-O,19,19,14.285714285714286
O-Ru,15,34,25.56390977443609
Co-O,10,44,33.08270676691729
Mn-O,10,54,40.6015037593985
Fe-La-O,9,63,47.36842105263158
Fe-N,7,70,52.63157894736842
Co-N,7,77,57.89473684210526
Co-P,6,83,62.40601503759399
Mo-S,6,89,66.9172932330827
N-Ru,6,95,71.42857142857143
N-Ni,5,100,75.18796992481202
C,5,105,78.94736842105263
Co-O-Ru,4,109,81.95488721804512
Ni-S,4,113,84.9624060150376
Ni-O,4,117,87.96992481203007
Co-Fe-O,4,121,90.97744360902256
Co-Ni-S,3,124,93.23308270676692
Co-Ni-P,3,127,95.48872180451127
La-Mn-O,3,130,97.74436090225564
Ni-P,3,133,100.0
