record_id,Overpotential(V),Cycling_performance
R0001,1.3,94
R0002,1.5,64
R0003,1.27,101
R0004,1.1,36
R0005,1.4,28
R0006,1.24,32
R0007,1.35,108
R0008,1.25,45
R0009,1.0,130
R0010,1.35,400
R0011,1.4,80
R0012,0.97,320
R0013,1.25,90
R0014,0.98,30
R0015,1.25,80
R0016,1.012,280
R0017,0.82,330
R0018,1.35,137
R0019,1.4,45
R0020,0.95,150
R0021,1.4,55
R0022,1.3,103
R0023,1.15,306
R0024,1.2,85
R0025,1.15,169
R0026,1.2,150
R0027,1.5,76
R0028,1.05,107
R0029,1.3,200
R0030,1.05,320
R0031,1.15,75
R0032,1.2,40
R0033,1.35,95
R0034,1.45,132
R0035,1.15,300
R0036,1.21,68
R0037,1.0,15
R0038,0.84,100
R0039,1.3,20
R0040,0.9,130
R0041,1.15,55
R0042,1.4,82
R0043,1.25,47
R0044,1.35,60
R0045,1.1,147
R0046,1.3,64
R0047,1.0,80
R0048,1.0,106
R0049,0.92,188
R0050,1.33,56
R0051,1.21,145
R0052,1.1,104
R0053,1.1,90
R0054,1.1,250
R0055,1.15,160
R0056,1.29,62
R0057,1.08,280
R0058,0.99,182
R0059,1.11,126
R0060,1.0,250
R0061,1.15,69
R0062,1.04,194
R0063,1.1,99
R0064,1.11,114
R0065,1.0,100
R0066,1.11,105
R0067,1.2,81
R0068,1.03,91
R0069,1.38,42
R0070,1.06,128
R0071,1.34,190
R0072,1.4,205
R0073,1.3,130
R0074,1.25,115
R0075,1.18,165
R0076,0.98,150
R0077,1.04,81
R0078,1.29,157
R0079,1.41,57
R0080,1.01,54
R0081,1.2,85
R0082,1.25,67
R0083,1.25,71
R0084,1.17,53
R0085,1.05,150
R0086,1.35,187
R0087,1.5,106
R0088,1.4,121
R0089,1.28,51
R0090,1.22,201
R0091,1.23,180
R0092,1.32,50
R0093,1.09,90
R0094,1.05,72
R0095,0.98,152
R0096,0.95,50
R0097,1.2,53
R0098,1.25,10
R0099,1.38,42
R0100,1.15,63
R0101,1.15,14
R0102,1.2,81
R0103,1.2,64
R0104,1.15,90
R0105,1.1,90
R0106,1.08,220
R0107,1.2,80
R0108,1.17,400
R0109,1.25,105
R0110,1.2,53
R0111,1.25,162
R0112,1.12,275
R0113,0.85,250
R0114,1.1,98
R0115,1.14,300
R0116,1.23,60
R0117,1.18,95
R0118,1.42,190
R0119,0.98,120
R0120,1.3,230
R0121,1.4,148
R0122,1.5,90
R0123,1.1,140
R0124,1.15,89
R0125,1.08,140
R0126,1.04,325
R0127,1.25,118
R0128,1.25,121
R0129,1.39,112
R0130,1.45,66
R0131,1.0,124
R0132,1.15,195
R0133,1.25,100
R0134,1.04,126
R0135,1.25,81
R0136,1.3,75
R0137,1.2,40
R0138,1.3,40
R0139,1.2,350
R0140,0.8,850
R0141,0.83,594
R0142,0.96,440
R0143,1.18,300
R0144,1.41,31
R0145,1.1,146
R0146,1.1,212
R0147,0.89,150
R0148,0.998,387
R0149,0.94,135
R0150,1.15,180
R0151,1.18,83
R0152,1.25,14
R0153,1.25,151
R0154,1.24,80
R0155,1.36,26
R0156,1.3,73
R0157,1.35,57
R0158,1.3,150
R0159,0.86,220
R0160,0.77,148
R0161,1.29,13
R0162,1.1,150
R0163,1.4,31
R0164,1.08,225
R0165,1.1,300
R0166,1.2,108
R0167,1.3,30
R0168,1.01,93
R0169,1.4,40
R0170,1.4,34
R0171,1.28,21
R0172,1.3,38
R0173,0.94,245
R0174,1.25,55
R0175,0.95,272
R0176,1.0,100
R0177,1.35,20
R0178,1.25,83
R0179,1.1,111
R0180,1.3,242
R0181,1.45,196
R0182,1.25,163
R0183,1.4,107
R0184,1.45,86
R0185,1.2,155
R0186,1.4,45
R0187,1.38,154
R0188,1.2,126
R0189,1.3,79
R0190,1.3,63
R0191,1.25,75
R0192,1.25,100
R0193,0.95,220
R0194,1.22,125
R0195,1.32,100
R0196,0.84,133
R0197,1.11,110
R0198,1.05,298
R0199,1.17,183
R0200,1.12,10
