variable,Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,Average_electronegativity_of_M1_and_N,Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,Average_electronegativity_of_active_site_(M1-M2-N),Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,Average_electronegativity_of_M1_and_M2,Average_d-electron_number_of_M1_and_M2,d-electron_number_of_M1,Average_electronegativity_of_M2_and_N,Average_valence-electron_number_of_M1_and_M2,Pauling_electronegativity_of_M2,First_ionization_energy_of_N,d-electron_number_of_M2,Covalent_Radius_of_N,Overpotential(V)
Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,1.0,0.6886053185062602,0.47594104360953593,0.44403760203902665,0.17953275235833455,0.44694852460324724,0.20099025286702954,0.3103733671452546,0.8885021860259579,0.14459953166235057,0.20173409363717545,0.12701980599462354,0.4096311476344639,0.14059237268780939,-0.1438825327224002,-0.5010987398034819
Average_electronegativity_of_M1_and_N,0.6886053185062602,1.0,0.2919429838700266,0.26674163064252376,0.23332340266606302,0.26320611697302954,0.2243280663870755,0.24029887177659798,0.4810770873910603,0.22624302828754714,0.2114234121733803,0.19726198512109974,0.5918701255699871,0.1869305044851346,-0.1302044630813668,-0.3534347913014895
Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,0.47594104360953593,0.2919429838700266,1.0,0.9858440162346618,0.9009300049050827,0.9872718342085717,0.9166484291772687,0.9552528365412485,0.38070350628514177,0.8757954867624436,0.8974058522345614,0.8678860762742686,0.17223389373609443,0.8304707945137986,-0.12740674517061581,-0.534006211669335
Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,0.44403760203902665,0.26674163064252376,0.9858440162346618,1.0,0.8992946872619504,0.9713512585608812,0.915919178377011,0.9439446720043951,0.3672285190649289,0.8718653334391666,0.8877341530384736,0.8617288938699592,0.1337642162014406,0.8086688885806907,-0.08292399172029327,-0.5085938076907683
Average_electronegativity_of_active_site_(M1-M2-N),0.17953275235833455,0.23332340266606302,0.9009300049050827,0.8992946872619504,1.0,0.8904660079834891,0.9928236836001576,0.9545936933567292,0.06658099650772578,0.9971831078664178,0.9650019601647364,0.9834310293813533,0.17769062088728838,0.9201940969446395,-0.14201956588491088,-0.38237244391142794
Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,0.44694852460324724,0.26320611697302954,0.9872718342085717,0.9713512585608812,0.8904660079834891,1.0,0.9205234992483624,0.9683956656577573,0.3766811355108565,0.8645680298459515,0.9056633076078426,0.883725435823319,0.13154986723155015,0.8661140143378446,-0.07342316628432137,-0.540526057083698
Average_electronegativity_of_M1_and_M2,0.20099025286702954,0.2243280663870755,0.9166484291772687,0.915919178377011,0.9928236836001576,0.9205234992483624,1.0,0.9734028689510295,0.10864531846779038,0.9839790993770776,0.9713292479557825,0.9881249485310858,0.14149104279674732,0.9367339166789687,-0.0951430292988557,-0.4043536218314287
Average_d-electron_number_of_M1_and_M2,0.3103733671452546,0.24029887177659798,0.9552528365412485,0.9439446720043951,0.9545936933567292,0.9683956656577573,0.9734028689510295,1.0,0.22833198015444955,0.9400377827221559,0.9572429208096088,0.9570687852995156,0.13162339751562893,0.9550092534539089,-0.08321367431339421,-0.4798782711378621
d-electron_number_of_M1,0.8885021860259579,0.4810770873910603,0.38070350628514177,0.3672285190649289,0.06658099650772578,0.3766811355108565,0.10864531846779038,0.22833198015444955,1.0,0.024111147363005882,0.11168126668506861,0.03362803597962891,0.02955567388338263,0.06095079081197197,0.03340236420048913,-0.37767157179568717
Average_electronegativity_of_M2_and_N,0.14459953166235057,0.22624302828754714,0.8757954867624436,0.8718653334391666,0.9971831078664178,0.8645680298459515,0.9839790993770776,0.9400377827221559,0.024111147363005882,1.0,0.95987631564534,0.9841294952344606,0.19085560395508802,0.9206075617358159,-0.16053931007134392,-0.3671929015384376
