record_id,tSNE_1,tSNE_2,Overpotential(V)
R0001,225.01164,-175.11292,1.3
R0002,13.489754,180.65926,1.5
R0003,76.65974,-190.70612,1.27
R0004,-86.982376,103.928894,1.1
R0005,-299.3223,-64.05153,1.4
R0006,42.36315,198.59848,1.24
R0007,69.4778,-94.52279,1.35
R0008,26.471064,-68.90987,1.25
R0009,281.87057,-67.589966,1.0
R0010,-256.5023,-2.4548612,1.35
R0011,-282.49072,-6.1003222,1.4
R0012,127.77645,-60.726074,0.97
R0013,90.397934,-251.40999,1.25
R0014,-130.95506,6.7947335,0.98
R0015,50.284554,-228.81558,1.25
R0016,127.77645,-60.726074,1.012
R0017,127.77645,-60.726074,0.82
R0018,-6.619135,-118.56194,1.35
R0019,-233.47917,-74.25913,1.4
R0020,176.79329,-99.46102,0.95
R0021,236.37842,-202.01558,1.4
R0022,236.37842,-202.01558,1.3
R0023,-62.484756,80.73516,1.15
R0024,-63.19217,45.4094,1.2
R0025,-62.484756,80.73516,1.15
R0026,-26.756464,138.47623,1.2
R0027,103.50947,145.79826,1.5
R0028,99.44543,29.10703,1.05
R0029,-176.79419,128.2049,1.3
R0030,245.46219,59.95631,1.05
R0031,112.01222,200.36092,1.15
R0032,109.65371,178.20572,1.2
R0033,-58.713448,-119.32416,1.35
R0034,-240.38994,-106.35879,1.45
R0035,179.57478,-60.161144,1.15
R0036,70.81658,210.97076,1.21
R0037,108.78954,-135.07256,1.0
R0038,148.05598,-18.28321,0.84
R0039,-58.713448,-119.32416,1.3
R0040,127.77645,-60.726074,0.9
R0041,70.81658,210.97076,1.15
R0042,-233.47917,-74.25913,1.4
R0043,-196.07329,-35.97205,1.25
R0044,-58.713448,-119.32416,1.35
R0045,123.41629,-140.22583,1.1
R0046,236.37842,-202.01558,1.3
R0047,289.5978,-97.469284,1.0
R0048,289.5978,-97.469284,1.0
R0049,306.10336,-114.65933,0.92
R0050,-163.7679,229.01552,1.33
R0051,235.75217,29.715927,1.21
R0052,205.46631,-44.376675,1.1
R0053,25.842497,-28.049349,1.1
R0054,205.46631,-44.376675,1.1
R0055,205.46631,-44.376675,1.15
R0056,64.87954,177.22424,1.29
R0057,176.79329,-99.46102,1.08
R0058,179.40121,12.314731,0.99
R0059,-197.41911,178.42888,1.11
R0060,208.52704,16.59805,1.0
R0061,1.4242878,138.68842,1.15
R0062,127.77645,-60.726074,1.04
R0063,-238.7301,161.3242,1.1
R0064,-197.41911,178.42888,1.11
R0065,306.3019,-138.40599,1.0
R0066,-205.87752,64.0588,1.11
R0067,-74.00715,161.5342,1.2
R0068,296.27014,-53.518166,1.03
R0069,-30.884281,-106.447914,1.38
R0070,127.77645,-60.726074,1.06
R0071,-300.1724,-39.576576,1.34
R0072,-265.23212,-36.261517,1.4
R0073,-163.7679,229.01552,1.3
R0074,-176.79419,128.2049,1.25
R0075,-197.41911,178.42888,1.18
R0076,188.32095,48.14929,0.98
R0077,-241.59485,134.74315,1.04
R0078,-19.94375,-84.227356,1.29
R0079,236.37842,-202.01558,1.41
R0080,265.11316,-163.22937,1.01
R0081,-36.063606,37.838173,1.2
R0082,-31.577156,81.42977,1.25
R0083,-14.6123085,62.480446,1.25
R0084,64.87954,177.22424,1.17
R0085,-218.09184,143.11896,1.05
