,record_id,DOI,data_source,Compounds(M1-M2-N),Original_Compounds,Current_density(mA/g),Limited_specific_capacity(mAh/g),Current_density(mA/g).1,Limited_specific_capacity(mAh/g).1,Overpotential(V),Atomic_Weight_of_M1,Atomic_Weight_of_M2,Atomic_Weight_of_N,Covalent_Radius_of_M1,Covalent_Radius_of_M2,Covalent_Radius_of_N,VanDer_Waals_Radius_of_M1,VanDer_Waals_Radius_of_M2,VanDer_Waals_Radius_of_N,Atomic_Volume_of_M1,Atomic_Volume_of_M2,Atomic_Volume_of_N,Electron_Affinity_of_M1,Electron_Affinity_of_M2,Electron_Affinity_of_N,d-electron_number_of_M1,d-electron_number_of_M2,p-electron_number_of_N,Difference_in_the_d-electron_number_of_M1_and_M2,Average_d-electron_number_of_M1_and_M2,Number_of_valence_electrons_of_M1,Number_of_valence_electrons_of_M2,Number_of_valence_electrons_of_N,Difference_in_the_valence-electron_number_of_M1_and_M2,Average_valence-electron_number_of_M1_and_M2,First_ionization_energy_of_M1,First_ionization_energy_of_M2,First_ionization_energy_of_N,Difference_in_the_First_ionization_energy_of_metals,Electrical_Conductivity_of_M1,Electrical_Conductivity_of_M2,Thermal_Conductivity_of_M1,Thermal_Conductivity_of_M2,Pauling_electronegativity_of_M1,Pauling_electronegativity_of_M2,Pauling_electronegativity_of_N,Difference_in_the_electronegativity_of_M1_and_M2,Average_electronegativity_of_M1_and_M2,Average_electronegativity_of_M1_and_N,Average_electronegativity_of_M2_and_N,Average_electronegativity_of_active_site_(M1-M2-N),Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,d-band_center_of_M1,d-band_center_of_M2,Cycling_performance,M1,M2,Pred_Overpotential,Category
0,R0003,https://doi.org/10.1016/j.apcatb.2019.118283,16,Co-Ni-S,NiCo?S?/S-3DPG,150.0,1000.0,150.0,1000.0,1.27,58.933,58.693,32.06,116,115,102,192,163,180,6.71,6.59,15.5,63,112,200.4,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,999.6,23.3,17200000,14400000,100,91.4,1.88,1.91,2.58,-0.03,1.895,2.23,2.245,2.123333333,13.37,18.06,15.715,1890,-1.3,-1.4,101,Co,Ni,1.304782685425684,Co-Ni
1,R0012,https://doi.org/10.1016/j.cej.2021.128403,53,Co-Ni-O,NiCo?O?@BCNNT,500.0,1000.0,100.0,1000.0,0.97,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,320,Co,Ni,0.9034826010723541,Co-Ni
2,R0016,https://doi.org/10.1016/j.jallcom.2020.157945,68,Co-Ni-O,Co?O?@NiCo?O?,500.0,1000.0,100.0,1000.0,1.012,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,280,Co,Ni,0.9034826010723541,Co-Ni
3,R0017,https://doi.org/10.1016/j.jallcom.2020.154054,70,Co-Ni-O,Ru@NiCo?O?/CTs,500.0,500.0,500.0,500.0,0.82,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,330,Co,Ni,0.9034826010723541,Co-Ni
4,R0040,https://doi.org/10.1007/s11581-021-04046-5,157,Co-Ni-O,NiO/Co?O?,500.0,500.0,500.0,500.0,0.9,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,130,Co,Ni,0.9034826010723541,Co-Ni
5,R0062,https://doi.org/10.1002/slct.202200870,225,Co-Ni-O,CoNi/NC,500.0,1000.0,100.0,1000.0,1.04,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,194,Co,Ni,0.9034826010723541,Co-Ni
6,R0070,https://doi.org/10.1016/j.cej.2022.136852,236,Co-Ni-O,NiSA-Co3O4/CC,200.0,1000.0,300.0,1500.0,1.06,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,128,Co,Ni,0.9034826010723541,Co-Ni
7,R0076,https://doi.org/10.1002/admi.202102110,252,Co-Ni-N,NiCo@NC,500.0,1000.0,500.0,1000.0,0.98,58.933,58.693,14.007,116,115,75,192,163,155,6.71,6.59,17.3,63,112,-7,7,8,3,-1,7.5,9,10,5,-1,9.5,760.4,737.1,1402.3,23.3,17200000,14400000,100,91.4,1.88,1.91,3.04,-0.03,1.895,2.46,2.475,2.276666667,13.37,21.28,17.325,1890,-1.3,-1.4,150,Co,Ni,0.9576760604230844,Co-Ni
8,R0113,https://doi.org/10.1039/d2ta03604e,344,Co-Ni-O,N-NiCoO2/CoO/CC,72.5,144.9,72.5,144.9,0.85,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,250,Co,Ni,0.9034826010723541,Co-Ni
9,R0120,https://doi.org/10.1002/aenm.202204057,375,Co-Ni-S,NiS2-CoS2@NC,500.0,1000.0,500.0,1000.0,1.3,58.933,58.693,32.06,116,115,102,192,163,180,6.71,6.59,15.5,63,112,200.4,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,999.6,23.3,17200000,14400000,100,91.4,1.88,1.91,2.58,-0.03,1.895,2.23,2.245,2.123333333,13.37,18.06,15.715,1890,-1.3,-1.4,230,Co,Ni,1.304782685425684,Co-Ni
10,R0140,https://doi.org/10.1016/j.jcis.2025.139355,416,Co-Ni-O,"Ni, Mn-Co3O4",500.0,500.0,500.0,500.0,0.8,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,850,Co,Ni,0.9034826010723541,Co-Ni
11,R0141,https://doi.org/10.1016/j.jcis.2025.139355,416,Co-Ni-O,Ni-Co3O4,500.0,500.0,500.0,500.0,0.83,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,594,Co,Ni,0.9034826010723541,Co-Ni
12,R0149,https://doi.org/10.1002/anie.202509132,437,Co-Ni-O,LB-HEO（Cr、Mn、Co、Ni、Zn、O）,100.0,1000.0,100.0,1000.0,0.94,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,135,Co,Ni,0.9034826010723541,Co-Ni
13,R0156,https://doi.org/10.1016/j.cej.2025.162908,457,Co-Ni-P,P-NiCo2S4（P掺杂）,200.0,1000.0,200.0,1000.0,1.3,58.933,58.693,30.974,116,115,107,192,163,180,6.71,6.59,17,63,112,72,7,8,3,-1,7.5,9,10,5,-1,9.5,760.4,737.1,1011.8,23.3,17200000,14400000,100,91.4,1.88,1.91,2.19,-0.03,1.895,2.035,2.05,1.993333333,13.37,15.33,14.35,1890,-1.3,-1.4,73,Co,Ni,1.2996877222222196,Co-Ni
14,R0157,https://doi.org/10.1016/j.cej.2025.162908,457,Co-Ni-S,NiCo2S4,200.0,1000.0,200.0,1000.0,1.35,58.933,58.693,32.06,116,115,102,192,163,180,6.71,6.59,15.5,63,112,200.4,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,999.6,23.3,17200000,14400000,100,91.4,1.88,1.91,2.58,-0.03,1.895,2.23,2.245,2.123333333,13.37,18.06,15.715,1890,-1.3,-1.4,57,Co,Ni,1.304782685425684,Co-Ni
15,R0158,https://doi.org/10.1016/j.cej.2025.162908,457,Co-Ni-P,P-NiCo2S4,500.0,600.0,500.0,600.0,1.3,58.933,58.693,30.974,116,115,107,192,163,180,6.71,6.59,17,63,112,72,7,8,3,-1,7.5,9,10,5,-1,9.5,760.4,737.1,1011.8,23.3,17200000,14400000,100,91.4,1.88,1.91,2.19,-0.03,1.895,2.035,2.05,1.993333333,13.37,15.33,14.35,1890,-1.3,-1.4,150,Co,Ni,1.2996877222222196,Co-Ni
16,R0160,https://doi.org/10.1039/d5nr00300h,459,Co-Ni-O,PtFeCoNiCu@rGO,100.0,500.0,100.0,500.0,0.77,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,148,Co,Ni,0.9034826010723541,Co-Ni
17,R0185,https://doi.org/10.1002/adma.202404319,523,Co-Ni-F,CoNiO2-xFx/CC,1000.0,1000.0,1000.0,1000.0,1.2,58.933,58.693,18.998,116,115,64,192,163,147,6.71,6.59,17.1,63,112,328.2,7,8,5,-1,7.5,9,10,7,-1,9.5,760.4,737.1,1681,23.3,17200000,14400000,100,91.4,1.88,1.91,3.98,-0.03,1.895,2.93,2.945,2.59,13.37,27.86,20.615,1617,-1.3,-1.4,155,Co,Ni,1.1466332031829185,Co-Ni
18,R0196,https://doi.org/10.1016/j.mtcomm.2024.108243,547,Co-Ni-O,h-MoO3/NiCo2O4,500.0,500.0,500.0,500.0,0.84,58.933,58.693,15.999,116,115,73,192,163,152,6.71,6.59,14,63,112,141,7,8,4,-1,7.5,9,10,6,-1,9.5,760.4,737.1,1313.9,23.3,17200000,14400000,100,91.4,1.88,1.91,3.44,-0.03,1.895,2.66,2.675,2.41,13.37,24.08,18.725,1890,-1.3,-1.4,133,Co,Ni,0.9034826010723541,Co-Ni
19,R0035,https://dx.doi.org/10.1021/acsami.0c02087,136,Ni-Co-O,FCO NFs,500.0,500.0,500.0,500.0,1.15,58.693,58.933,15.999,115,116,73,163,192,152,6.59,6.71,14,112,63,141,8,7,4,1,7.5,10,9,6,1,9.5,737.1,760.4,1313.9,-23.3,14400000,17200000,91.4,100,1.91,1.88,3.44,0.03,1.895,2.675,2.66,2.41,15.04,27.52,21.28,1848,-1.4,-1.3,300,Ni,Co,1.114995566489067,Ni-Co
20,R0052,https://doi.org/10.1016/j.ensm.2023.102989,188,Ni-Co-O,NCF3（Ni:Co:Fe=21:20:59）,200.0,200.0,200.0,500.0,1.1,58.693,58.933,15.999,115,116,73,163,192,152,6.59,6.71,14,112,63,141,8,7,4,1,7.5,10,9,6,1,9.5,737.1,760.4,1313.9,-23.3,14400000,17200000,91.4,100,1.91,1.88,3.44,0.03,1.895,2.675,2.66,2.41,15.04,27.52,21.28,1848,-1.4,-1.3,104,Ni,Co,1.114995566489067,Ni-Co
21,R0054,https://doi.org/10.1016/S1872‐2067(23)64409‐2,191,Ni-Co-O,CuCoNiZnAl-T-NaOH,200.0,500.0,200.0,500.0,1.1,58.693,58.933,15.999,115,116,73,163,192,152,6.59,6.71,14,112,63,141,8,7,4,1,7.5,10,9,6,1,9.5,737.1,760.4,1313.9,-23.3,14400000,17200000,91.4,100,1.91,1.88,3.44,0.03,1.895,2.675,2.66,2.41,15.04,27.52,21.28,1848,-1.4,-1.3,250,Ni,Co,1.114995566489067,Ni-Co
22,R0055,https://doi.org/10.1016/S1872‐2067(23)64409‐2,191,Ni-Co-O,CuCoNiZnAl-T,200.0,500.0,200.0,500.0,1.15,58.693,58.933,15.999,115,116,73,163,192,152,6.59,6.71,14,112,63,141,8,7,4,1,7.5,10,9,6,1,9.5,737.1,760.4,1313.9,-23.3,14400000,17200000,91.4,100,1.91,1.88,3.44,0.03,1.895,2.675,2.66,2.41,15.04,27.52,21.28,1848,-1.4,-1.3,160,Ni,Co,1.114995566489067,Ni-Co
23,R0104,https://doi.org/10.1007/s12274-022-5330-2,317,Ni-Co-O,Ni-ZIF-280,200.0,500.0,200.0,500.0,1.15,58.693,58.933,15.999,115,116,73,163,192,152,6.59,6.71,14,112,63,141,8,7,4,1,7.5,10,9,6,1,9.5,737.1,760.4,1313.9,-23.3,14400000,17200000,91.4,100,1.91,1.88,3.44,0.03,1.895,2.675,2.66,2.41,15.04,27.52,21.28,1848,-1.4,-1.3,90,Ni,Co,1.114995566489067,Ni-Co
24,R0106,https://doi.org/10.1007/s12274-022-5330-2,317,Ni-Co-O,Ni-ZIF@Ru_280,200.0,500.0,200.0,500.0,1.08,58.693,58.933,15.999,115,116,73,163,192,152,6.59,6.71,14,112,63,141,8,7,4,1,7.5,10,9,6,1,9.5,737.1,760.4,1313.9,-23.3,14400000,17200000,91.4,100,1.91,1.88,3.44,0.03,1.895,2.675,2.66,2.41,15.04,27.52,21.28,1848,-1.4,-1.3,220,Ni,Co,1.114995566489067,Ni-Co
25,R0125,https://sioc-journal.cn/Jwk_hxxb/EN/10.6023/A22050206,381,Ni-Co-O,Li0.30MO,100.0,800.0,100.0,800.0,1.08,58.693,58.933,15.999,115,116,73,163,192,152,6.59,6.71,14,112,63,141,8,7,4,1,7.5,10,9,6,1,9.5,737.1,760.4,1313.9,-23.3,14400000,17200000,91.4,100,1.91,1.88,3.44,0.03,1.895,2.675,2.66,2.41,15.04,27.52,21.28,1848,-1.4,-1.3,140,Ni,Co,1.114995566489067,Ni-Co
26,R0180,https://doi.org/10.1016/j.est.2024.112780,519,Ni-Co-P,NiCoP@PNCF,200.0,500.0,200.0,500.0,1.3,58.693,58.933,30.974,115,116,107,163,192,180,6.59,6.71,17,112,63,72,8,7,3,1,7.5,10,9,5,1,9.5,737.1,760.4,1011.8,-23.3,14400000,17200000,91.4,100,1.91,1.88,2.19,0.03,1.895,2.05,2.035,1.993333333,15.04,17.52,16.28,1848,-1.4,-1.3,242,Ni,Co,1.2943251998556984,Ni-Co
27,R0007,https://doi.org/10.1016/j.jallcom.2019.152736,34,Mn-Co-O,MnCo?O?@CC,340.0,500.0,340.0,500.0,1.35,54.938,58.933,15.999,139,116,73,197,192,152,7.39,6.71,14,50,63,141,5,7,4,-2,6,7,9,6,-2,8,717.3,760.4,1313.9,-43.1,695000,17200000,7.81,100,1.55,1.88,3.44,-0.33,1.715,2.495,2.66,2.29,9.4,17.2,13.3,1275,-1.6,-1.3,108,Mn,Co,1.265540696481622,Co
28,R0015,https://doi.org/10.1016/j.flatc.2020.100221,65,Mo-Co-P,CoMoP?@NPC,500.0,1000.0,100.0,1000.0,1.25,95.95,58.933,30.974,139,116,107,209,192,180,9.38,6.71,17,72,63,72,5,7,3,-2,6,6,9,5,-3,7.5,684.3,760.4,1011.8,-76.1,18700000,17200000,138,100,2.16,1.88,2.19,0.28,2.02,2.175,2.035,2.076666667,9.4,10.95,10.175,1275,-1.6,-1.3,80,Mo,Co,1.2374044653679654,Co
29,R0019,https://doi.org/10.1016/j.jallcom.2020.157656,73,Co-**-S,CoS,100.0,1000.0,100.0,1000.0,1.4,58.933,none,32.06,116,none,102,192,none,180,6.71,none,15.5,63,none,200.4,7,none,4,none,none,9,none,6,none,none,760.4,none,999.6,none,17200000,none,100,none,1.88,none,2.58,none,none,2.23,none,none,none,18.06,none,none,-1.3,none,45,Co,**,1.4306369852500425,Co
