Compounds(M1-M2-N),Overpotential(V),M1,M2,Category,Pred_Overpotential
Fe-Ce-O,1.3,Fe,Ce,Others,1.3103031897546884
Fe-**-O,1.5,Fe,**,Others,1.4306638862101926
Co-Ni-S,1.27,Co,Ni,Co-Ni,1.304782685425684
Ru-**-O,1.1,Ru,**,Others,1.149579201055309
Ni-**-P,1.4,Ni,**,Ni,1.3902536222078548
Mn-**-O,1.24,Mn,**,Others,1.2050596644842086
Mn-Co-O,1.35,Mn,Co,Co,1.265540696481622
Ti-Ni-O,1.25,Ti,Ni,Ni,1.2423636075036077
Se-Fe-O,1.0,Se,Fe,Others,1.0183541281385267
Fe-**-P,1.35,Fe,**,Others,1.3807621357368123
Fe-**-P,1.4,Fe,**,Others,1.3807621357368123
Co-Ni-O,0.97,Co,Ni,Co-Ni,0.9034826010723541
Ni-Fe-P,1.25,Ni,Fe,Ni,1.2823940396825384
Ti-**-C,0.98,Ti,**,Others,1.033775765512264
Mo-Co-P,1.25,Mo,Co,Co,1.2374044653679654
Co-Ni-O,1.012,Co,Ni,Co-Ni,0.9034826010723541
Co-Ni-O,0.82,Co,Ni,Co-Ni,0.9034826010723541
La-Ni-O,1.35,La,Ni,Ni,1.3107197085137094
Co-**-S,1.4,Co,**,Co,1.4306369852500425
Co-Fe-O,0.95,Co,Fe,Co,0.9851136075036055
Fe-La-O,1.4,Fe,La,Others,1.331693163253415
Fe-La-O,1.3,Fe,La,Others,1.331693163253415
Ru-**-O,1.15,Ru,**,Others,1.149579201055309
Ru-**-O,1.2,Ru,**,Others,1.149579201055309
Ru-**-O,1.15,Ru,**,Others,1.149579201055309
Co-**-O,1.2,Co,**,Co,1.1745134410335105
Dy-**-O,1.5,Dy,**,Others,1.4549267387057387
Co-Cu-O,1.05,Co,Cu,Co,1.0757501784992802
Ru-**-N,1.3,Ru,**,Others,1.2410433798146316
Ir-Co-N,1.05,Ir,Co,Co,1.0699408458763469
Ti-**-O,1.15,Ti,**,Others,1.184695852647351
Ti-**-O,1.2,Ti,**,Others,1.184695852647351
La-Mn-O,1.35,La,Mn,Others,1.3368363308080853
Ni-**-S,1.45,Ni,**,Ni,1.425163486249043
Ni-Co-O,1.15,Ni,Co,Ni-Co,1.114995566489067
Mn-**-O,1.21,Mn,**,Others,1.2050596644842086
Ag-Mn-O,1.0,Ag,Mn,Others,1.0093952383838387
Co-Ru-O,0.84,Co,Ru,Co,0.93325044628818
La-Mn-O,1.3,La,Mn,Others,1.3368363308080853
Co-Ni-O,0.9,Co,Ni,Co-Ni,0.9034826010723541
Mn-**-O,1.15,Mn,**,Others,1.2050596644842086
Co-**-S,1.4,Co,**,Co,1.4306369852500425
Mo-**-S,1.25,Mo,**,Others,1.2573672808580296
La-Mn-O,1.35,La,Mn,Others,1.3368363308080853
Ag-Fe-O,1.1,Ag,Fe,Others,1.0485125062231917
Fe-La-O,1.3,Fe,La,Others,1.331693163253415
Se-Sn-O,1.0,Se,Sn,Others,0.9951213589810939
Se-Sn-O,1.0,Se,Sn,Others,0.9951213589810939
Te-Bi-O,0.92,Te,Bi,Others,0.9537043309109208
Fe-**-N,1.33,Fe,**,Others,1.3036544719169716
Ru-Fe-N,1.21,Ru,Fe,Others,1.17970669047619
Ni-Co-O,1.1,Ni,Co,Ni-Co,1.114995566489067
