,Co,Ni,Fe,Ru,Mn,La,Mo,Ti,Cr,Sn,Pd,Cu,Ag,Bi,Pt,In,V,Ir
Co,0,27,6,7,3,3,2,1,0,0,0,2,0,0,1,0,0,1
Ni,27,0,3,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0
Fe,6,3,0,1,1,9,1,0,0,0,0,0,1,0,0,0,0,0
Ru,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mn,3,0,1,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0
La,3,2,9,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0
Mo,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ti,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cr,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
Sn,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pd,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cu,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ag,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pt,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
In,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
V,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ir,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
