Compounds(M1-M2-N),ElementGroup
Fe-Ce-O,Ce-Fe-O
Fe-**-O,Fe-O
Co-Ni-S,Co-Ni-S
Ru-**-O,O-Ru
Ni-**-P,Ni-P
Mn-**-O,Mn-O
Mn-Co-O,Co-Mn-O
Ti-Ni-O,Ni-O-Ti
Se-Fe-O,Fe-O-Se
Fe-**-P,Fe-P
Fe-**-P,Fe-P
Co-Ni-O,Co-Ni-O
Ni-Fe-P,Fe-Ni-P
Ti-**-C,C-Ti
Mo-Co-P,Co-Mo-P
Co-Ni-O,Co-Ni-O
Co-Ni-O,Co-Ni-O
La-Ni-O,La-Ni-O
Co-**-S,Co-S
Co-Fe-O,Co-Fe-O
Fe-La-O,Fe-La-O
Fe-La-O,Fe-La-O
Ru-**-O,O-Ru
Ru-**-O,O-Ru
Ru-**-O,O-Ru
Co-**-O,Co-O
Dy-**-O,Dy-O
Co-Cu-O,Co-Cu-O
Ru-**-N,N-Ru
Ir-Co-N,Co-Ir-N
Ti-**-O,O-Ti
Ti-**-O,O-Ti
La-Mn-O,La-Mn-O
Ni-**-S,Ni-S
Ni-Co-O,Co-Ni-O
Mn-**-O,Mn-O
Ag-Mn-O,Ag-Mn-O
Co-Ru-O,Co-O-Ru
La-Mn-O,La-Mn-O
Co-Ni-O,Co-Ni-O
Mn-**-O,Mn-O
Co-**-S,Co-S
Mo-**-S,Mo-S
La-Mn-O,La-Mn-O
Ag-Fe-O,Ag-Fe-O
Fe-La-O,Fe-La-O
Se-Sn-O,O-Se-Sn
Se-Sn-O,O-Se-Sn
Te-Bi-O,Bi-O-Te
Fe-**-N,Fe-N
Ru-Fe-N,Fe-N-Ru
Ni-Co-O,Co-Ni-O
Ti-Pt-C,C-Pt-Ti
Ni-Co-O,Co-Ni-O
Ni-Co-O,Co-Ni-O
Mn-**-O,Mn-O
Co-Fe-O,Co-Fe-O
Co-Mo-N,Co-Mo-N
Co-**-N,Co-N
Co-Fe-N,Co-Fe-N
Co-**-O,Co-O
Co-Ni-O,Co-Ni-O
Ni-**-N,N-Ni
Co-**-N,Co-N
Bi-In-S,Bi-In-S
Pd-**-**,Pd
Ni-**-O,Ni-O
Se-Co-O,Co-O-Se
La-Co-O,Co-La-O
Co-Ni-O,Co-Ni-O
Ni-**-P,Ni-P
Co-**-P,Co-P
Fe-**-N,Fe-N
Ru-**-N,N-Ru
Co-**-N,Co-N
Co-Ni-N,Co-N-Ni
Ni-**-N,N-Ni
La-Co-O,Co-La-O
Fe-La-O,Fe-La-O
Sn-La-O,La-O-Sn
Ru-**-O,O-Ru
Ru-**-O,O-Ru
Ru-**-O,O-Ru
Mn-**-O,Mn-O
Ni-**-N,N-Ni
Co-**-P,Co-P
Co-**-P,Co-P
Co-**-P,Co-P
Fe-**-N,Fe-N
Ni-**-O,Ni-O
Co-**-O,Co-O
Fe-**-N,Fe-N
Se-Ni-O,Ni-O-Se
Ru-**-O,O-Ru
Ti-**-C,C-Ti
Co-Mn-O,Co-Mn-O
Mn-**-O,Mn-O
Mn-**-O,Mn-O
La-Co-O,Co-La-O
Mn-**-O,Mn-O
Mn-**-O,Mn-O
Ru-**-O,O-Ru
Co-**-O,Co-O
Ni-Co-O,Co-Ni-O
Co-**-O,Co-O
Ni-Co-O,Co-Ni-O
Cr-La-O,Cr-La-O
Ni-**-O,Ni-O
Mo-**-S,Mo-S
Cr-Pd-O,Cr-O-Pd
Fe-**-N,Fe-N
Ni-Fe-O,Fe-Ni-O
Co-Ni-O,Co-Ni-O
Ru-**-O,O-Ru
Ni-**-O,Ni-O
Mo-Mn-S,Mn-Mo-S
Mo-**-P,Mo-P
Ni-**-P,Ni-P
Co-**-N,Co-N
Co-Ni-S,Co-Ni-S
Ni-**-S,Ni-S
Co-**-S,Co-S
Co-**-O,Co-O
Co-**-O,Co-O
Ni-Co-O,Co-Ni-O
Co-Fe-N,Co-Fe-N
Ti-Co-O,Co-O-Ti
La-Ni-O,La-Ni-O
La-Fe-O,Fe-La-O
La-Fe-O,Fe-La-O
Ti-**-C,C-Ti
Ni-Fe-O,Fe-Ni-O
Fe-Mn-O,Fe-Mn-O
Co-**-N,Co-N
Mo-**-S,Mo-S
**-**-C,C
Ru-**-N,N-Ru
Cr-**-O,Cr-O
Co-**-O,Co-O
Co-Ni-O,Co-Ni-O
Co-Ni-O,Co-Ni-O
Co-Ru-O,Co-O-Ru
Co-**-O,Co-O
**-**-C,C
Co-Cu-O,Co-Cu-O
Ru-**-O,O-Ru
Co-Fe-O,Co-Fe-O
Co-Ru-O,Co-O-Ru
Co-Ni-O,Co-Ni-O
Co-**-N,Co-N
Mo-Fe-S,Fe-Mo-S
Mo-**-S,Mo-S
Ru-**-N,N-Ru
Co-**-O,Co-O
**-**-C,C
Co-Ni-P,Co-Ni-P
Co-Ni-S,Co-Ni-S
Co-Ni-P,Co-Ni-P
Co-Pt-O,Co-O-Pt
Co-Ni-O,Co-Ni-O
**-**-C,C
Ru-**-O,O-Ru
**-**-C,C
Ni-**-N,N-Ni
Ni-**-N,N-Ni
Ru-**-O,O-Ru
Fe-**-N,Fe-N
Co-Fe-O,Co-Fe-O
Fe-**-O,Fe-O
La-Fe-O,Fe-La-O
Fe-La-O,Fe-La-O
Fe-La-O,Fe-La-O
Co-Ru-O,Co-O-Ru
Mn-**-O,Mn-O
Co-Ru-N,Co-N-Ru
Co-**-N,Co-N
Fe-**-N,Fe-N
Cr-V-O,Cr-O-V
Ru-**-O,O-Ru
Ni-Co-P,Co-Ni-P
Co-**-P,Co-P
Mo-Ni-S,Mo-Ni-S
Ni-**-S,Ni-S
Ni-**-S,Ni-S
Co-Ni-F,Co-F-Ni
Fe-**-O,Fe-O
Co-**-P,Co-P
Mn-Co-O,Co-Mn-O
Ru-**-N,N-Ru
Mo-**-S,Mo-S
Mo-**-S,Mo-S
Mn-Mo-S,Mn-Mo-S
Co-Ru-N,Co-N-Ru
Cr-Ni-O,Cr-Ni-O
Cr-Ni-O,Cr-Ni-O
Co-Ni-O,Co-Ni-O
Ru-**-O,O-Ru
Ru-Co-N,Co-N-Ru
Ru-**-N,N-Ru
Pd-**-C,C-Pd
