Compounds(M1-M2-N),Overpotential(V),Cycling_performance,m1,m2
Fe-Ce-O,1.3,94,Fe,Ce
Fe-**-O,1.5,64,Fe,**
Co-Ni-S,1.27,101,Co,Ni
Ru-**-O,1.1,36,Ru,**
Ni-**-P,1.4,28,Ni,**
Mn-**-O,1.24,32,Mn,**
Mn-Co-O,1.35,108,Mn,Co
Ti-Ni-O,1.25,45,Ti,Ni
Se-Fe-O,1.0,130,Se,Fe
Fe-**-P,1.35,400,Fe,**
Fe-**-P,1.4,80,Fe,**
Co-Ni-O,0.97,320,Co,Ni
Ni-Fe-P,1.25,90,Ni,Fe
Ti-**-C,0.98,30,Ti,**
Mo-Co-P,1.25,80,Mo,Co
Co-Ni-O,1.012,280,Co,Ni
Co-Ni-O,0.82,330,Co,Ni
La-Ni-O,1.35,137,La,Ni
Co-**-S,1.4,45,Co,**
Co-Fe-O,0.95,150,Co,Fe
Fe-La-O,1.4,55,Fe,La
Fe-La-O,1.3,103,Fe,La
Ru-**-O,1.15,306,Ru,**
Ru-**-O,1.2,85,Ru,**
Ru-**-O,1.15,169,Ru,**
Co-**-O,1.2,150,Co,**
Dy-**-O,1.5,76,Dy,**
Co-Cu-O,1.05,107,Co,Cu
Ru-**-N,1.3,200,Ru,**
Ir-Co-N,1.05,320,Ir,Co
Ti-**-O,1.15,75,Ti,**
Ti-**-O,1.2,40,Ti,**
La-Mn-O,1.35,95,La,Mn
Ni-**-S,1.45,132,Ni,**
Ni-Co-O,1.15,300,Ni,Co
Mn-**-O,1.21,68,Mn,**
Ag-Mn-O,1.0,15,Ag,Mn
Co-Ru-O,0.84,100,Co,Ru
La-Mn-O,1.3,20,La,Mn
Co-Ni-O,0.9,130,Co,Ni
Mn-**-O,1.15,55,Mn,**
Co-**-S,1.4,82,Co,**
Mo-**-S,1.25,47,Mo,**
La-Mn-O,1.35,60,La,Mn
Ag-Fe-O,1.1,147,Ag,Fe
Fe-La-O,1.3,64,Fe,La
Se-Sn-O,1.0,80,Se,Sn
Se-Sn-O,1.0,106,Se,Sn
Te-Bi-O,0.92,188,Te,Bi
Fe-**-N,1.33,56,Fe,**
Ru-Fe-N,1.21,145,Ru,Fe
Ni-Co-O,1.1,104,Ni,Co
Ti-Pt-C,1.1,90,Ti,Pt
Ni-Co-O,1.1,250,Ni,Co
Ni-Co-O,1.15,160,Ni,Co
Mn-**-O,1.29,62,Mn,**
Co-Fe-O,1.08,280,Co,Fe
Co-Mo-N,0.99,182,Co,Mo
Co-**-N,1.11,126,Co,**
Co-Fe-N,1.0,250,Co,Fe
Co-**-O,1.15,69,Co,**
Co-Ni-O,1.04,194,Co,Ni
Ni-**-N,1.1,99,Ni,**
Co-**-N,1.11,114,Co,**
Bi-In-S,1.0,100,Bi,In
Pd-**-**,1.11,105,Pd,**
Ni-**-O,1.2,81,Ni,**
Se-Co-O,1.03,91,Se,Co
La-Co-O,1.38,42,La,Co
Co-Ni-O,1.06,128,Co,Ni
Ni-**-P,1.34,190,Ni,**
Co-**-P,1.4,205,Co,**
Fe-**-N,1.3,130,Fe,**
Ru-**-N,1.25,115,Ru,**
Co-**-N,1.18,165,Co,**
Co-Ni-N,0.98,150,Co,Ni
Ni-**-N,1.04,81,Ni,**
La-Co-O,1.29,157,La,Co
Fe-La-O,1.41,57,Fe,La
Sn-La-O,1.01,54,Sn,La
Ru-**-O,1.2,85,Ru,**
Ru-**-O,1.25,67,Ru,**
Ru-**-O,1.25,71,Ru,**
Mn-**-O,1.17,53,Mn,**
Ni-**-N,1.05,150,Ni,**
Co-**-P,1.35,187,Co,**
Co-**-P,1.5,106,Co,**
Co-**-P,1.4,121,Co,**
Fe-**-N,1.28,51,Fe,**
Ni-**-O,1.22,201,Ni,**
Co-**-O,1.23,180,Co,**
Fe-**-N,1.32,50,Fe,**
Se-Ni-O,1.09,90,Se,Ni
Ru-**-O,1.05,72,Ru,**
Ti-**-C,0.98,152,Ti,**
