,Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,Average_d-electron_number_of_M1_and_M2,d-electron_number_of_M2,Average_valence-electron_number_of_M1_and_M2,Atomic_Weight_of_N,Average_electronegativity_of_M1_and_M2,Covalent_Radius_of_N,Overpotential(V)
Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,1.0,0.9872718342085716,0.9713512585608812,0.4469485246032471,0.9683956656577573,0.8661140143378446,0.9056633076078426,-0.026672197912562087,0.9205234992483624,-0.07342316628432137,-0.540526057083698
Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,0.9872718342085716,1.0,0.9858440162346618,0.47594104360953593,0.9552528365412485,0.8304707945137986,0.8974058522345614,-0.0742911623035129,0.9166484291772687,-0.12740674517061581,-0.534006211669335
Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,0.9713512585608812,0.9858440162346618,1.0,0.44403760203902665,0.9439446720043951,0.8086688885806907,0.8877341530384736,-0.0322792963077626,0.915919178377011,-0.08292399172029327,-0.5085938076907683
Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,0.4469485246032471,0.47594104360953593,0.44403760203902665,1.0,0.3103733671452546,0.14059237268780939,0.20173409363717545,-0.11367916800368078,0.20099025286702954,-0.1438825327224002,-0.5010987398034819
Average_d-electron_number_of_M1_and_M2,0.9683956656577573,0.9552528365412485,0.9439446720043951,0.3103733671452546,1.0,0.9550092534539089,0.9572429208096088,-0.029181524575190163,0.9734028689510295,-0.08321367431339421,-0.4798782711378621
d-electron_number_of_M2,0.8661140143378446,0.8304707945137986,0.8086688885806907,0.14059237268780939,0.9550092534539089,1.0,0.9281054701796037,-0.02362356977836244,0.9367339166789687,-0.07573585709323107,-0.4168581182672448
Average_valence-electron_number_of_M1_and_M2,0.9056633076078426,0.8974058522345614,0.8877341530384736,0.20173409363717545,0.9572429208096088,0.9281054701796037,1.0,-0.04436380597713412,0.9713292479557825,-0.09626386651320382,-0.41478475107175805
Atomic_Weight_of_N,-0.026672197912562087,-0.0742911623035129,-0.0322792963077626,-0.11367916800368078,-0.029181524575190163,-0.02362356977836244,-0.04436380597713412,1.0,-0.04179650355533764,0.9365865652528829,0.41329648713653594
Average_electronegativity_of_M1_and_M2,0.9205234992483624,0.9166484291772687,0.915919178377011,0.20099025286702954,0.9734028689510295,0.9367339166789687,0.9713292479557825,-0.04179650355533764,1.0,-0.0951430292988557,-0.4043536218314287
Covalent_Radius_of_N,-0.07342316628432137,-0.12740674517061581,-0.08292399172029327,-0.1438825327224002,-0.08321367431339421,-0.07573585709323107,-0.09626386651320382,0.9365865652528829,-0.0951430292988557,1.0,0.40362423341840636
Overpotential(V),-0.540526057083698,-0.534006211669335,-0.5085938076907683,-0.5010987398034819,-0.4798782711378621,-0.4168581182672448,-0.41478475107175805,0.41329648713653594,-0.4043536218314287,0.40362423341840636,1.0
