feature,pearson_r,p_value,abs_r
Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,-0.540526057083698,1.4394422877009454e-16,0.540526057083698
Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,-0.5340062116693349,3.86140988200736e-16,0.5340062116693349
Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,-0.5085938076907677,1.48577383369092e-14,0.5085938076907677
Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,-0.5010987398034819,4.119501679276411e-14,0.5010987398034819
Average_d-electron_number_of_M1_and_M2,-0.47987827113786174,6.482103500868013e-13,0.47987827113786174
d-electron_number_of_M2,-0.4168581182672453,8.246155494928171e-10,0.4168581182672453
Average_valence-electron_number_of_M1_and_M2,-0.4147847510717586,1.0184501534113838e-09,0.4147847510717586
Atomic_Weight_of_N,0.41329648713653633,1.1840485455276266e-09,0.41329648713653633
Average_electronegativity_of_M1_and_M2,-0.4043536218314292,2.883033021616307e-09,0.4043536218314292
Covalent_Radius_of_N,0.40362423341840664,3.0965002826624316e-09,0.40362423341840664
Electron_Affinity_of_M2,-0.3998245646612165,4.479908601885048e-09,0.3998245646612165
Pauling_electronegativity_of_M2,-0.3863258100371877,1.6032881954823336e-08,0.3863258100371877
Average_electronegativity_of_active_site_(M1-M2-N),-0.38237244391142766,2.30420034024249e-08,0.38237244391142766
d-electron_number_of_M1,-0.3776715717956878,3.524622237586851e-08,0.3776715717956878
Average_electronegativity_of_M2_and_N,-0.36719290153843753,8.87578784242682e-08,0.36719290153843753
Number_of_valence_electrons_of_M2,-0.3626943739574467,1.3063932895081913e-07,0.3626943739574467
Average_electronegativity_of_M1_and_N,-0.3534347913014893,2.8417795743971015e-07,0.3534347913014893
First_ionization_energy_of_M2,-0.3493711442478096,3.966024025636619e-07,0.3493711442478096
Thermal_Conductivity_of_M2,-0.34137482241440426,7.539468703886053e-07,0.34137482241440426
d-band_center_of_M2,0.33053880605053526,1.75057697318591e-06,0.33053880605053526
First_ionization_energy_of_N,-0.31977357449660593,3.917588198837909e-06,0.31977357449660593
Pauling_electronegativity_of_N,-0.31903965237868376,4.134121357836353e-06,0.31903965237868376
Pauling_electronegativity_of_M1,-0.3162195664055122,5.076798183664221e-06,0.3162195664055122
VanDer_Waals_Radius_of_N,0.31583186649454054,5.2213550666294394e-06,0.31583186649454054
First_ionization_energy_of_M1,-0.3150474458380955,5.52588098279902e-06,0.3150474458380955
Atomic_Weight_of_M2,-0.3059771610007378,1.0520575635466933e-05,0.3059771610007378
Covalent_Radius_of_M2,-0.3019424070795832,1.3915179803476829e-05,0.3019424070795832
VanDer_Waals_Radius_of_M2,-0.3016546262100018,1.419327728632694e-05,0.3016546262100018
Electron_Affinity_of_M1,-0.29192544251152047,2.7371677533385972e-05,0.29192544251152047
Electrical_Conductivity_of_M2,-0.2753611666738879,7.935159843066732e-05,0.2753611666738879
Number_of_valence_electrons_of_M1,-0.2696988785964672,0.0001124531377287715,0.2696988785964672
Difference_in_the_First_ionization_energy_of_metals,-0.22733059849626433,0.0012067490055513394,0.22733059849626433
Electrical_Conductivity_of_M1,-0.20158881417163887,0.004203492244650538,0.20158881417163887
Atomic_Volume_of_M2,-0.19591634694415672,0.005430796820587691,0.19591634694415672
Thermal_Conductivity_of_M1,-0.16618630463177267,0.018678999975459607,0.16618630463177267
d-band_center_of_M1,0.13327451256213102,0.05992108858385887,0.13327451256213102
Difference_in_the_valence-electron_number_of_M1_and_M2,-0.12520242268871215,0.07731388040730885,0.12520242268871215
Difference_in_the_d-electron_number_of_M1_and_M2,-0.1218437293156822,0.0856618240052272,0.1218437293156822
Difference_in_the_electronegativity_of_M1_and_M2,-0.0972541734981403,0.1706835913897963,0.0972541734981403
Electron_Affinity_of_N,0.0933542172067567,0.18856840831728908,0.0933542172067567
Atomic_Volume_of_N,0.08660728334393464,0.2226820094266497,0.08660728334393464
Atomic_Volume_of_M1,0.08045082031934825,0.2574446242830474,0.08045082031934825
VanDer_Waals_Radius_of_M1,-0.05512093682205188,0.43820302150970125,0.05512093682205188
Number_of_valence_electrons_of_N,-0.04572622533027676,0.5202568261037056,0.04572622533027676
p-electron_number_of_N,-0.04451480779274664,0.5313812799079473,0.04451480779274664
Atomic_Weight_of_M1,0.026341430640237314,0.7111937307425392,0.026341430640237314
Covalent_Radius_of_M1,0.009884153857525361,0.8895210554658477,0.009884153857525361
