feature,mean_abs_shap
m2_**,0.0002618797430830859
m1_Fe,0.00022505841675176213
m1_Ti,0.00016974285944001066
m2_Co,0.00015461480985692796
m1_Co,0.0001512378079472846
m2_Mn,8.016078506864524e-05
m1_Ni,7.15195248451838e-05
m1_Dy,6.954715428807195e-05
m1_Ru,5.5723625590769395e-05
m1_Cr,5.405205282835598e-05
m2_Ni,4.939761652425576e-05
m2_Fe,4.38550253801392e-05
m1_Mn,3.75845714816871e-05
m2_La,2.530558310320852e-05
m1_**,2.3163634590648735e-05
m2_V,1.8694628961350603e-05
m2_Pt,1.4331949397424266e-05
m1_Se,1.3578777716786537e-05
m2_Ru,1.2609114113798601e-05
m1_Pd,1.1203383476730082e-05
m1_La,7.5007682646177635e-06
m1_Mo,5.972501075376812e-06
m2_Bi,5.883017494573334e-06
m2_Ce,5.138388011588978e-06
m2_Cu,5.069933422984343e-06
m1_Ag,5.0061654942874356e-06
m1_Te,4.1226852923839464e-06
m2_Mo,2.0026252991552028e-06
m2_Sn,1.2834590824214481e-06
m1_Ir,8.888165250001452e-07
m2_In,7.76045715864486e-07
m2_Pd,7.591064608635413e-07
m1_Bi,0.0
m1_Sn,0.0
