feature,mean_abs_shap
Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,0.09680037220052286
d-band_center_of_M1,0.033732775174157445
Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,0.03274777226356167
Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,0.023347997427012296
Average_electronegativity_of_M1_and_N,0.010723420955028895
Atomic_Weight_of_N,0.004743589651352644
Electron_Affinity_of_M2,0.0026586791303631545
Difference_in_the_electronegativity_of_M1_and_M2,0.002312811455718393
Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,0.0022285573030572585
Atomic_Volume_of_N,0.0015384331702536385
Difference_in_the_d-electron_number_of_M1_and_M2,0.0014131556487277086
Electron_Affinity_of_N,0.0012548331218300481
p-electron_number_of_N,0.0011757902661457876
First_ionization_energy_of_N,0.0011415303839847801
Number_of_valence_electrons_of_N,0.001114794014243913
Average_electronegativity_of_M1_and_M2,0.0010592580934067524
Average_electronegativity_of_M2_and_N,0.0008996337998633822
Covalent_Radius_of_M2,0.0008346842102371622
Average_d-electron_number_of_M1_and_M2,0.0008127516959934147
Atomic_Weight_of_M2,0.0006967795965014738
Average_electronegativity_of_active_site_(M1-M2-N),0.0006799671431506445
Average_valence-electron_number_of_M1_and_M2,0.0006711916968048833
Thermal_Conductivity_of_M2,0.0006706966899666994
Difference_in_the_First_ionization_energy_of_metals,0.0005378684111935914
Atomic_Volume_of_M2,0.0005000438067183315
Pauling_electronegativity_of_M1,0.0004990220881952851
Electron_Affinity_of_M1,0.0004938838043044699
Covalent_Radius_of_N,0.0004358784269776748
Electrical_Conductivity_of_M1,0.00040335119671683047
Electrical_Conductivity_of_M2,0.00039632666519487337
VanDer_Waals_Radius_of_N,0.0003915544658924005
d-band_center_of_M2,0.000390626391024642
VanDer_Waals_Radius_of_M1,0.0003838029818440773
Thermal_Conductivity_of_M1,0.000369577290682392
Pauling_electronegativity_of_N,0.0003538096425395484
Pauling_electronegativity_of_M2,0.0003314876139789749
First_ionization_energy_of_M1,0.00033131793030511563
Atomic_Weight_of_M1,0.0003307089756680679
Number_of_valence_electrons_of_M2,0.0002902305074741319
Atomic_Volume_of_M1,0.0002893133741864734
VanDer_Waals_Radius_of_M2,0.00028683497015386656
Number_of_valence_electrons_of_M1,0.00027900103876391056
First_ionization_energy_of_M2,0.00026065453635431125
d-electron_number_of_M2,0.00023248806341042441
Difference_in_the_valence-electron_number_of_M1_and_M2,0.00017706382871915974
Covalent_Radius_of_M1,0.00017067008628284634
d-electron_number_of_M1,0.000168160910840745
