feature,mean_abs_shap
Correction_of_d_electron_number_of_M1_with_electronegativity_of_N,0.09680037220052286
d-band_center_of_M1,0.033732775174157445
Correction_of_d_electron_number_of_M1_with_sum_atomic_radius_of_M1_and_M2,0.03274777226356167
Correction_of_d_electron_number_of_M1_with_average_Electronegativity_of_M2_and_N,0.023347997427012296
Average_electronegativity_of_M1_and_N,0.010723420955028895
Atomic_Weight_of_N,0.004743589651352644
Electron_Affinity_of_M2,0.0026586791303631545
Difference_in_the_electronegativity_of_M1_and_M2,0.002312811455718393
Correction_of_d_electron_number_of_M1_with_electronegativity_of_M2,0.0022285573030572585
Atomic_Volume_of_N,0.0015384331702536385
Difference_in_the_d-electron_number_of_M1_and_M2,0.0014131556487277086
Electron_Affinity_of_N,0.0012548331218300481
p-electron_number_of_N,0.0011757902661457876
First_ionization_energy_of_N,0.0011415303839847801
Number_of_valence_electrons_of_N,0.001114794014243913
Average_electronegativity_of_M1_and_M2,0.0010592580934067524
Average_electronegativity_of_M2_and_N,0.0008996337998633822
Covalent_Radius_of_M2,0.0008346842102371622
Average_d-electron_number_of_M1_and_M2,0.0008127516959934147
Atomic_Weight_of_M2,0.0006967795965014738
Average_electronegativity_of_active_site_(M1-M2-N),0.0006799671431506445
Average_valence-electron_number_of_M1_and_M2,0.0006711916968048833
Thermal_Conductivity_of_M2,0.0006706966899666994
Difference_in_the_First_ionization_energy_of_metals,0.0005378684111935914
Atomic_Volume_of_M2,0.0005000438067183315
Pauling_electronegativity_of_M1,0.0004990220881952851
Electron_Affinity_of_M1,0.0004938838043044699
Covalent_Radius_of_N,0.0004358784269776748
Electrical_Conductivity_of_M1,0.00040335119671683047
Electrical_Conductivity_of_M2,0.00039632666519487337
VanDer_Waals_Radius_of_N,0.0003915544658924005
d-band_center_of_M2,0.000390626391024642
VanDer_Waals_Radius_of_M1,0.0003838029818440773
Thermal_Conductivity_of_M1,0.000369577290682392
Pauling_electronegativity_of_N,0.0003538096425395484
Pauling_electronegativity_of_M2,0.0003314876139789749
First_ionization_energy_of_M1,0.00033131793030511563
Atomic_Weight_of_M1,0.0003307089756680679
Number_of_valence_electrons_of_M2,0.0002902305074741319
Atomic_Volume_of_M1,0.0002893133741864734
VanDer_Waals_Radius_of_M2,0.00028683497015386656
Number_of_valence_electrons_of_M1,0.00027900103876391056
m2_**,0.0002618797430830859
First_ionization_energy_of_M2,0.00026065453635431125
d-electron_number_of_M2,0.00023248806341042441
m1_Fe,0.00022505841675176213
Difference_in_the_valence-electron_number_of_M1_and_M2,0.00017706382871915974
Covalent_Radius_of_M1,0.00017067008628284634
m1_Ti,0.00016974285944001066
d-electron_number_of_M1,0.000168160910840745
m2_Co,0.00015461480985692796
m1_Co,0.0001512378079472846
m2_Mn,8.016078506864524e-05
m1_Ni,7.15195248451838e-05
m1_Dy,6.954715428807195e-05
m1_Ru,5.5723625590769395e-05
m1_Cr,5.405205282835598e-05
m2_Ni,4.939761652425576e-05
m2_Fe,4.38550253801392e-05
m1_Mn,3.75845714816871e-05
m2_La,2.530558310320852e-05
m1_**,2.3163634590648735e-05
m2_V,1.8694628961350603e-05
m2_Pt,1.4331949397424266e-05
m1_Se,1.3578777716786537e-05
m2_Ru,1.2609114113798601e-05
m1_Pd,1.1203383476730082e-05
m1_La,7.5007682646177635e-06
m1_Mo,5.972501075376812e-06
m2_Bi,5.883017494573334e-06
m2_Ce,5.138388011588978e-06
m2_Cu,5.069933422984343e-06
m1_Ag,5.0061654942874356e-06
m1_Te,4.1226852923839464e-06
m2_Mo,2.0026252991552028e-06
m2_Sn,1.2834590824214481e-06
m1_Ir,8.888165250001452e-07
m2_In,7.76045715864486e-07
m2_Pd,7.591064608635413e-07
m1_Bi,0.0
m1_Sn,0.0
