tSNE_1,tSNE_2,Overpotential(V)
225.01164,-175.11292,1.3
13.489754,180.65926,1.5
76.65974,-190.70612,1.27
-86.982376,103.928894,1.1
-299.3223,-64.05153,1.4
42.36315,198.59848,1.24
69.4778,-94.52279,1.35
26.471064,-68.90987,1.25
281.87057,-67.589966,1.0
-256.5023,-2.4548612,1.35
-282.49072,-6.1003222,1.4
127.77645,-60.726074,0.97
90.397934,-251.40999,1.25
-130.95506,6.7947335,0.98
50.284554,-228.81558,1.25
127.77645,-60.726074,1.012
127.77645,-60.726074,0.82
-6.619135,-118.56194,1.35
-233.47917,-74.25913,1.4
176.79329,-99.46102,0.95
236.37842,-202.01558,1.4
236.37842,-202.01558,1.3
-62.484756,80.73516,1.15
-63.19217,45.4094,1.2
-62.484756,80.73516,1.15
-26.756464,138.47623,1.2
103.50947,145.79826,1.5
99.44543,29.10703,1.05
-176.79419,128.2049,1.3
245.46219,59.95631,1.05
112.01222,200.36092,1.15
109.65371,178.20572,1.2
-58.713448,-119.32416,1.35
-240.38994,-106.35879,1.45
179.57478,-60.161144,1.15
70.81658,210.97076,1.21
108.78954,-135.07256,1.0
148.05598,-18.28321,0.84
-58.713448,-119.32416,1.3
127.77645,-60.726074,0.9
70.81658,210.97076,1.15
-233.47917,-74.25913,1.4
-196.07329,-35.97205,1.25
-58.713448,-119.32416,1.35
123.41629,-140.22583,1.1
236.37842,-202.01558,1.3
289.5978,-97.469284,1.0
289.5978,-97.469284,1.0
306.10336,-114.65933,0.92
-163.7679,229.01552,1.33
235.75217,29.715927,1.21
205.46631,-44.376675,1.1
25.842497,-28.049349,1.1
205.46631,-44.376675,1.1
205.46631,-44.376675,1.15
64.87954,177.22424,1.29
176.79329,-99.46102,1.08
179.40121,12.314731,0.99
-197.41911,178.42888,1.11
208.52704,16.59805,1.0
1.4242878,138.68842,1.15
127.77645,-60.726074,1.04
-238.7301,161.3242,1.1
-197.41911,178.42888,1.11
306.3019,-138.40599,1.0
-205.87752,64.0588,1.11
-74.00715,161.5342,1.2
296.27014,-53.518166,1.03
-30.884281,-106.447914,1.38
127.77645,-60.726074,1.06
-300.1724,-39.576576,1.34
-265.23212,-36.261517,1.4
-163.7679,229.01552,1.3
-176.79419,128.2049,1.25
-197.41911,178.42888,1.18
188.32095,48.14929,0.98
-241.59485,134.74315,1.04
-19.94375,-84.227356,1.29
236.37842,-202.01558,1.41
265.11316,-163.22937,1.01
-36.063606,37.838173,1.2
-31.577156,81.42977,1.25
-14.6123085,62.480446,1.25
64.87954,177.22424,1.17
-218.09184,143.11896,1.05
-265.23212,-36.261517,1.35
-265.23212,-36.261517,1.5
-265.23212,-36.261517,1.4
-143.67706,209.94753,1.28
-97.77354,162.68285,1.22
-42.928684,201.90796,1.23
-189.40244,240.25859,1.32
306.6921,-70.65716,1.09
-62.484756,80.73516,1.05
-130.95506,6.7947335,0.98
206.24228,-120.52902,0.95
64.87954,177.22424,1.2
64.87954,177.22424,1.25
-30.884281,-106.447914,1.38
70.81658,210.97076,1.15
70.81658,210.97076,1.15
-62.484756,80.73516,1.2
-27.033875,184.21935,1.2
179.57478,-60.161144,1.15
-12.899723,163.03365,1.1
205.46631,-44.376675,1.08
203.94151,-199.36761,1.2
